,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,10-05-2020 00:10:13,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,7,нет,Тбилиси,0.3 гр,0.0096,3221,231,7000,,,,,,,,,,,0.3 a-pvp white
1,1,10-05-2020 00:10:13,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,19,нет,Тбилиси,0.5 гр,0.0163,4310,388,11746,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,10-05-2020 00:10:13,Tbilisi,e56bb6ca93,0.5g Cocaine. Quality not best but normal,True,2,нет,Тбилиси,0.5 гр,0.01,2684,242,7313,99.0,,,,,,,,,,0.5g Cocaine. Quality not best but normal
3,3,10-05-2020 00:10:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0137,3660,330,9973,135.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,10-05-2020 00:10:13,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0133,3524,317,9603,130.0,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,5,10-05-2020 00:10:13,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,1 гр,0.0056,1491,134,4063,55.0,True,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
6,6,10-05-2020 00:10:13,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,7,нет,Тбилиси,1 гр,0.0306,8106,730,22088,299.0,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,7,10-05-2020 00:10:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0238,6371,574,17360,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
8,8,10-05-2020 00:10:13,Tbilisi,917bf145e7,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.0041,1220,110,3324,45.0,,,,,,,,,,Lsd 25 buds 1 GR
9,9,10-05-2020 00:10:13,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,2,нет,Тбилиси,1 гр,0.0053,1410,127,3841,52.0,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
10,10,10-05-2020 00:10:13,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.024,6506,586,17729,240.0,,,,,,,,,,VHQ BEST Cocaine 1g.
11,11,10-05-2020 00:10:13,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0828,24399,2197,66485,900.0,,,,,,,,,,Metadon 1gr
12,12,10-05-2020 00:10:13,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.0091,2413,217,6575,89.0,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
13,13,10-05-2020 00:10:13,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,1,нет,Тбилиси,2 гр,0.0091,2413,217,6575,89.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
14,14,10-05-2020 00:10:13,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0072,1898,171,5171,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
15,15,10-05-2020 00:10:13,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,True,1,нет,Тбилиси,2 гр,0.0072,1898,171,5171,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
16,16,10-05-2020 00:10:13,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.009000000000000001,2413,217,6575,89.0,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
17,17,10-05-2020 00:10:13,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 2G,,2,нет,Тбилиси,2 гр,0.0099,2657,239,7240,98.0,True,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 2G
18,18,10-05-2020 00:10:13,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0481,13013,1172,35459,480.0,,,,,,,,,,VHQ BEST Cocaine 2g.
19,19,10-05-2020 00:10:13,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.0086,2304,208,6279,85.0,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
20,20,10-05-2020 00:10:13,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0122,3226,291,8791,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
21,21,10-05-2020 00:10:13,Tbilisi,4659482266,3g superskunk top class buds.,,3,нет,Тбилиси,3 гр,0.0122,3226,291,8791,119.0,,,True,,,,,,,3g superskunk top class buds.
