,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Didube,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Батуми,Центр,desc_en
0,0,09-08-2020 14:53:20,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,5,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29.0,,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
1,1,09-08-2020 14:53:20,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,2,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29.0,,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,2,09-08-2020 14:53:20,Tbilisi,16a8841259,0.5 Gram Northern-Light DOMINANT INDICA,,8,нет,Тбилиси,0.5 гр,0.0022,1915,724,64,26.0,True,,,,,,,,,,,,0.5 Gram Northern-Light DOMINANT INDICA
3,3,09-08-2020 14:53:20,Tbilisi,16a8841259,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?,True,1,нет,Тбилиси,0.5 гр,0.0022,1915,724,64,26.0,,,,,,,,,,,,,0.5 Gramm Ak-47 Best Seller 2020 Guess who's Back?
4,4,09-08-2020 14:53:20,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.0028,2430,919,81,33.0,,,,,,,,,,,,,0.5 gr HYBRID buds
5,5,09-08-2020 14:53:20,Tbilisi,21de5577be,0.5 gr. Afghan kush 100% Natural (Indika),,2,нет,Тбилиси,0.5 гр,0.0027,2283,864,76,31.0,True,,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
6,6,09-08-2020 14:53:20,Tbilisi,21de5577be,0.5 gr. Magic Kush IMPORT (INDICA),,2,нет,Тбилиси,0.5 гр,0.0027,2283,864,76,31.0,True,,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
7,7,09-08-2020 14:53:20,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29.0,,True,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
8,8,09-08-2020 14:53:20,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,22,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,True,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
9,9,09-08-2020 14:53:20,Tbilisi,16a8841259,0.5Gramm 😬 WEEDSHOP TBILISI HIGH THC BUDS,,2,нет,Тбилиси,0.5 гр,0.0022,1915,724,64,26.0,True,,,,,,,,,,,,0.5Gramm 😬 WEEDSHOP TBILISI HIGH THC BUDS
10,10,09-08-2020 14:53:20,Tbilisi,16a8841259,0.5Gramm 🤯🤯Bubble Kush (напас),,7,нет,Тбилиси,0.5 гр,0.0023,1988,752,66,27.0,True,,,,,,,,,,,,0.5Gramm 🤯🤯Bubble Kush (napas)
11,11,09-08-2020 14:53:20,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0026,2209,836,73,30.0,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
12,12,09-08-2020 14:53:20,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
13,13,09-08-2020 14:53:20,Tbilisi,67187efef3,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,2,нет,Тбилиси,0.5 гр,0.0019,1767,669,59,24.0,,,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
14,14,09-08-2020 14:53:20,Tbilisi,fccfd69694,Бошки OG Kush 05g.,True,2,нет,Тбилиси,0.5 гр,0.0022,1841,697,61,25.0,,,,,,,,,,,,,Boshki OG Kush 05g.
15,15,09-08-2020 14:53:20,Tbilisi,16a8841259,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,6,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
16,16,09-08-2020 14:53:20,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
17,17,09-08-2020 14:53:20,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,19,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
18,18,09-08-2020 14:53:20,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
19,19,09-08-2020 14:53:20,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
20,20,09-08-2020 14:53:20,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,4,нет,Тбилиси,1 гр,0.0047,4050,1532,135,55.0,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
21,21,09-08-2020 14:53:20,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,3,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,,1 gr super lemon haze probnik
22,22,09-08-2020 14:53:20,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,True,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
23,23,09-08-2020 14:53:20,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
24,24,09-08-2020 14:53:20,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,7,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
25,25,09-08-2020 14:53:20,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,5,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
