,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Varketili,Didube,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,02-05-2020 04:15:45,Tbilisi,OX85,amnesia420,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,5,нет,Тбилиси,0.5 гр,0.003,2036,762,68,28,,,,,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
1,02-05-2020 04:15:45,Tbilisi,U26MW,Skyhigh,Hashish Malana Charas 0.5 g,,7,нет,Тбилиси,0.5 гр,0.0056,3782,1414,126,52,True,,,,,,,,,,,,,Hashish Malana Charas 0.5 g
2,02-05-2020 04:15:45,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,6,нет,Тбилиси,0.5 гр,0.0026,1745,653,58,24,True,True,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,02-05-2020 04:15:45,Tbilisi,A3SS3,Parrots,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,1,нет,Тбилиси,0.5 гр,0.0028,2109,789,70,29,,,True,,,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
4,02-05-2020 04:15:45,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,14,нет,Тбилиси,0.5 гр,0.0031,2109,789,70,29,,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,02-05-2020 04:15:45,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,1 гр,0.0059,4000,1496,133,55,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,02-05-2020 04:15:45,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,3,нет,Тбилиси,1 гр,0.0052,3491,1306,116,48,,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
7,02-05-2020 04:15:45,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,3,нет,Тбилиси,1 гр,0.004,2982,1115,99,41,,,,,,,,,,,,,,Hybrid Ana-sha 1G.
8,02-05-2020 04:15:45,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0256,17454,6528,579,240,,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
9,02-05-2020 04:15:45,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,1,нет,Тбилиси,1 гр,0.0051,3418,1278,113,47,,,,True,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
10,02-05-2020 04:15:45,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0247,16654,6229,553,229,,,,,True,,,,,,,,,Kokain KOLUMBIA 1g
11,02-05-2020 04:15:45,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0882,65454,24480,2173,900,,,,,,,,,,,,,,Metadon 1gr
12,02-05-2020 04:15:45,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.026,17382,6501,577,239,,True,,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
13,02-05-2020 04:15:45,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0108,7273,2720,241,100,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
14,02-05-2020 04:15:45,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0507,34181,12784,1135,470,,,,,,,,,,,,,,Cocaine Pure VHQ 2 g
15,02-05-2020 04:15:45,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0092,6182,2312,205,85,,True,,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
16,02-05-2020 04:15:45,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.014,9454,3536,314,130,,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
17,02-05-2020 04:15:45,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,5,нет,Тбилиси,3 гр,0.0129,8654,3237,287,119,,,,,,True,,,,,,,,3g superskunk top class buds.
18,02-05-2020 04:15:45,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0114,7636,2856,254,105,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,02-05-2020 04:15:45,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,9,нет,Тбилиси,3 гр,0.0108,7273,2720,241,100,,,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
20,02-05-2020 04:15:45,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0331,23272,8704,773,320,,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,02-05-2020 04:15:45,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.032,21818,8160,724,300,,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
22,02-05-2020 04:15:45,Tbilisi,LGRP8,Walker12,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,1,нет,Тбилиси,8 гр,0.041,27636,10336,917,380,,,,,,,True,,,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
23,02-05-2020 04:15:45,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,10,нет,Тбилиси,10 гр,0.0225,15200,5685,505,209,,True,,,,,,True,,,,,,10 gr marijuana buds. -indica-
24,02-05-2020 04:15:45,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 10g TOP VHQ,True,4,нет,Тбилиси,10 гр,0.0323,21818,8160,724,300,,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
25,02-05-2020 04:15:45,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0414,29091,10880,966,400,,,,,,,,,,,,,,gashish evro 10g
26,02-05-2020 04:15:45,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,9,нет,Тбилиси,20 гр,0.0437,29454,11016,978,405,,True,,True,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
27,02-05-2020 04:15:45,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0804,56508,21134,1876,777,,,,,,,,,,,,,,Gashish Evro 20gr
28,02-05-2020 04:15:45,Tbilisi,8B31,GEOWEEDSHOP,50 гр Марихуана шишки. ИНДИКА,True,1,нет,Тбилиси,50 гр,0.1077,72654,27173,2412,999,,,,,,,,,,,,,,50 gr Marihuana shishki. INDIKA
29,02-05-2020 04:15:45,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.196,145453,54400,4829,2000,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,02-05-2020 04:15:45,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,16,Тбилиси,0.2 гр,0.0042,2836,1061,94,39,,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
31,02-05-2020 04:15:45,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.0172,11636,4352,386,160,,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
32,02-05-2020 04:15:45,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0146,9818,3672,326,135,,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
33,02-05-2020 04:15:45,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0352,26109,9801,867,,,,,,,,,,330,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
34,02-05-2020 04:15:45,Tbilisi,A3I9,Joookerrr,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,45,Тбилиси,2 гр,0.0038,2545,952,85,35,,,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
35,02-05-2020 04:16:31,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0227,15273,5712,507,210,,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
36,02-05-2020 04:16:31,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0399,26836,10037,891,369,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
37,02-05-2020 04:16:31,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0626,42109,15749,1398,579,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,02-05-2020 04:16:31,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0429,29091,10880,966,400,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,02-05-2020 04:16:31,Tbilisi,A3I9,Joookerrr,Предзаказ н-бооом 4 штуки!!!,True,нет,9,Тбилиси,4 гр,0.0064,4364,1632,145,60,,,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
40,02-05-2020 04:16:31,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,10,Тбилиси,4 гр,0.015,10182,3808,338,140,,True,,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
41,02-05-2020 04:16:31,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0589,39999,14960,1328,550,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
42,02-05-2020 04:16:31,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0182,12363,4624,410,170,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
43,02-05-2020 04:16:31,Tbilisi,OX85,amnesia420,5g WEED MIX / выбери свои сорта,True,нет,3,Тбилиси,5 гр,0.0234,15854,5930,526,218,,,,,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
44,02-05-2020 04:16:31,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0213,14473,5413,480,199,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,02-05-2020 04:16:31,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0213,14473,5413,480,199,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,02-05-2020 04:16:31,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0213,15927,5957,529,219,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,02-05-2020 04:16:31,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0213,14473,5413,480,199,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
48,02-05-2020 04:16:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2544,190000,87429,6306,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
49,02-05-2020 04:16:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2922,218179,81600,7243,3000,,,,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
50,02-05-2020 04:16:31,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1038,69745,26085,2315,959,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
51,02-05-2020 04:16:31,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0205,13745,5141,456,189,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
52,02-05-2020 04:16:31,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0206,13818,5168,459,190,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
53,02-05-2020 04:16:31,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0529,35563,13301,1181,489,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
54,02-05-2020 04:16:31,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0205,13745,5141,456,189,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
55,02-05-2020 04:16:31,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,10,Тбилиси,10 гр,0.0118,8000,2992,266,110,,,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
