,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,15-02-2020 17:55:08,Tbilisi,61df6a1c90,Метадон 0.15гр,True,4,нет,Тбилиси,0.15 гр,0.0113,8249,3203,286,130.0,,,,,,,,,Metadon 0.15gr
1,1,15-02-2020 17:55:08,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0156,11422,4435,396,180.0,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,15-02-2020 17:55:08,Tbilisi,32e645c201,"methadone 0,29 gr",,3,нет,Тбилиси,0.29 гр,0.02,13325,5174,462,210.0,True,,,,,,,,"methadone 0,29 gr"
3,3,15-02-2020 17:55:08,Tbilisi,da96c34455,ALFA PVP in City 0.3g,True,1,нет,Тбилиси,0.3 гр,0.0057,3807,1478,132,60.0,,,,,,,,,ALFA PVP in City 0.3g
4,4,15-02-2020 17:55:08,Tbilisi,adf2d19b92,alpha pvp 0.3 crystal,True,1,нет,Тбилиси,0.3 гр,0.0058,4251,1651,147,67.0,,,,,,,,,alpha pvp 0.3 crystal
5,5,15-02-2020 17:55:08,Tbilisi,61df6a1c90,Метадон 0.30гр,True,4,нет,Тбилиси,0.3 гр,0.0156,12056,4682,418,190.0,,,,,,,,,Metadon 0.30gr
6,6,15-02-2020 17:55:08,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,6,нет,Тбилиси,0.5 гр,0.0066,4378,1700,152,69.0,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
7,7,15-02-2020 17:55:08,Tbilisi,366326d4d6,0.5 g. Ketamine,True,4,нет,Тбилиси,0.5 гр,0.0057,3744,1454,130,59.0,,,,,,,,,0.5 g. Ketamine
8,8,15-02-2020 17:55:08,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,11,нет,Тбилиси,0.5 гр,0.0028,1840,715,64,29.0,True,True,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
9,9,15-02-2020 17:55:08,Tbilisi,ae784bef73,MDMA Кристаллы HQ 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0057,3807,1478,132,60.0,,,,,,,,,MDMA Kristally HQ 0.5G
10,10,15-02-2020 17:55:08,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0251,18402,7146,638,290.0,,,,,,,,,Metadon VHQ 0.5 24/7
11,11,15-02-2020 17:55:08,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,7,нет,Тбилиси,0.5 гр,0.0095,6282,2439,218,99.0,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
12,12,15-02-2020 17:55:08,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,3,нет,Тбилиси,0.5 гр,0.0029,1904,739,66,30.0,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
13,13,15-02-2020 17:55:08,Tbilisi,61df6a1c90,Метадон 0.6гр,True,4,нет,Тбилиси,0.6 гр,0.026000000000000002,19036,7392,660,300.0,,,,,,,,,Metadon 0.6gr
