,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,€,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,10-02-2020 21:14:33,Tbilisi,61df6a1c90,Метадон 0.15гр,True,6,нет,Тбилиси,0.15 гр,0.0117,8290,3211,283,130.0,,,,,,,,,,,Metadon 0.15gr
1,1,10-02-2020 21:14:33,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0162,11479,4446,392,180.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,10-02-2020 21:14:33,Tbilisi,32e645c201,"methadone 0,29 gr",,7,нет,Тбилиси,0.29 гр,0.0207,13392,5187,457,210.0,True,,,,,,,,,,"methadone 0,29 gr"
3,3,10-02-2020 21:14:33,Tbilisi,da96c34455,ALFA PVP in City 0.3g,True,5,нет,Тбилиси,0.3 гр,0.0059,3826,1482,131,60.0,,,,,,,,,,,ALFA PVP in City 0.3g
4,4,10-02-2020 21:14:33,Tbilisi,61df6a1c90,Метадон 0.30гр,True,2,нет,Тбилиси,0.3 гр,0.0161,12116,4693,413,190.0,,,,,,,,,,,Metadon 0.30gr
5,5,10-02-2020 21:14:33,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,4,нет,Тбилиси,0.33 гр,0.0057,3826,1482,131,60.0,,,,,,,,,,,"A PVP 0,33 VHQ"
6,6,10-02-2020 21:14:33,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,5,нет,Тбилиси,0.5 гр,0.0029,1849,716,63,29.0,,True,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
7,7,10-02-2020 21:14:33,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0079,5102,1976,174,80.0,,,,,,,,,,,ALFA PVP in City 0.5g
8,8,10-02-2020 21:14:33,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,1,нет,Тбилиси,0.5 гр,0.0048,3125,1210,107,49.0,,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
9,9,10-02-2020 21:14:33,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,2,нет,Тбилиси,0.5 гр,0.006,3826,1482,131,60.0,,,,,,,,,,,Ketamine 0.5g
10,10,10-02-2020 21:14:33,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0269,19131,7410,653,300.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
11,11,10-02-2020 21:14:33,Tbilisi,61df6a1c90,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.0278,19769,7657,675,310.0,,,,,,,,,,,Metadon 0.6gr
12,12,10-02-2020 21:14:33,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,6,нет,Тбилиси,0.8 гр,0.0118,7653,2964,261,120.0,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
13,13,10-02-2020 21:14:33,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,33,нет,Тбилиси,1 гр,0.004,2870,1112,98,45.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
14,14,10-02-2020 21:14:33,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0049,3189,1235,109,50.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
15,15,10-02-2020 21:14:33,Tbilisi,21de5577be,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,15,нет,Тбилиси,1 гр,0.0044,2870,1112,98,45.0,,True,,,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
16,16,10-02-2020 21:14:33,Tbilisi,3e177bb968,1gr Green Poison Strong Hybrid VHQ Buds,True,1,нет,Тбилиси,1 гр,0.0047,3061,1186,104,48.0,,,,,,,,,,,1gr Green Poison Strong Hybrid VHQ Buds
17,17,10-02-2020 21:14:33,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0088,5935,2299,203,,,,,85.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
18,18,10-02-2020 21:14:33,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,True,2,нет,Тбилиси,1 гр,0.0044,2870,1112,98,45.0,,,,,,,,,,,Afghan HQ buds ! NEW ! 1G
19,19,10-02-2020 21:14:33,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g Promotion -5% for Bitcoin,True,2,нет,Тбилиси,1 гр,0.0072,4847,1877,165,76.0,,,,,,,,,,,Hashish Ice-o-lator 1g Promotion -5% for Bitcoin
20,20,10-02-2020 21:14:33,Tbilisi,8219f5e7b8,Ketamine 1g,True,7,нет,Тбилиси,1 гр,0.01,6377,2470,218,100.0,,,,,,,,,,,Ketamine 1g
21,21,10-02-2020 21:14:33,Tbilisi,366326d4d6,Ketamine 1g.,True,8,нет,Тбилиси,1 гр,0.0089,5676,2198,194,89.0,,,,,,,,,,,Ketamine 1g.
22,22,10-02-2020 21:14:33,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,4,нет,Тбилиси,1 гр,0.004,2551,988,87,40.0,,,,,,,,,,,"LSD - 250 ug, 1piece"
23,23,10-02-2020 21:14:33,Tbilisi,436325081c,Megrelian strong weed VIPsort!!! 1gr. sale sale sale !!!,True,1,нет,Тбилиси,1 гр,0.0026,1849,716,63,29.0,,,,,,,,,,,Megrelian strong weed VIPsort!!! 1gr. sale sale sale !!!
24,24,10-02-2020 21:14:33,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.0449,31885,12350,1088,500.0,,,,,,,,,,,Metadon VHQ 1 24/7
25,25,10-02-2020 21:14:33,Tbilisi,edfbad0151,Morocco Hash Ice-Scream 1G High THc,True,3,нет,Тбилиси,1 гр,0.0074,4783,1853,163,75.0,,,,,,,,,,,Morocco Hash Ice-Scream 1G High THc
26,26,10-02-2020 21:14:33,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,2,нет,Тбилиси,1 гр,0.0117,8290,3211,283,130.0,,,,,,,,,,,NZT-52 mind storm limited 1g muka
27,27,10-02-2020 21:14:33,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0395,25508,9880,870,400.0,,,,,,,,,,,"Metadon, 1gr"
28,28,10-02-2020 21:14:33,Tbilisi,21de5577be,2 gr. Blue Berry Kush 100% Natural/Indika/ Import,,4,нет,Тбилиси,2 гр,0.0079,5102,1976,174,80.0,True,True,,,,,,,,,2 gr. Blue Berry Kush 100% Natural/Indika/ Import
29,29,10-02-2020 21:14:33,Tbilisi,21de5577be,2 gr. SALE! Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,1,нет,Тбилиси,2 гр,0.0074,4783,1853,163,75.0,,,,,True,,,,,,2 gr. SALE! Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
30,30,10-02-2020 21:14:33,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,11,нет,Тбилиси,2 гр,0.006999999999999999,4464,1729,152,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
31,31,10-02-2020 21:15:11,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0373,24552,9510,838,385.0,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
32,32,10-02-2020 21:15:11,Tbilisi,ae784bef73,Gorilla Glue! 2G! NEW !,True,2,нет,Тбилиси,2 гр,0.0074,4783,1853,163,75.0,,,,,,,,,,,Gorilla Glue! 2G! NEW !
33,33,10-02-2020 21:15:11,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0207,14667,5681,501,230.0,,,,,,,,,,,NZT-52 mind storm limited 2g muka
34,34,10-02-2020 21:15:11,Tbilisi,ad9cb826c6,"3 Grm Mdma , Purity A +++",True,2,нет,Тбилиси,3 гр,0.0198,14030,5434,479,220.0,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
35,35,10-02-2020 21:15:11,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0297,21044,8151,718,330.0,,,,,,,,,,,NZT-52 mind storm limited 3g muka
36,36,10-02-2020 21:15:11,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0874,62002,24020,2119,,,,,888.0,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
37,37,10-02-2020 21:15:11,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.0058,4145,1606,141,65.0,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,10-02-2020 21:15:11,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0199,13392,5187,457,210.0,,,,,,,,,,,gashish evro 5g
39,39,10-02-2020 21:15:11,Tbilisi,edfbad0151,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,6 гр,0.0719,51017,19760,1741,800.0,,,,,,,,,,,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale"""
