,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Тбилиси,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,25-05-2020 17:28:37,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,12,нет,Тбилиси,0.5 гр,0.0032,2076,784,70,29.0,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
1,1,25-05-2020 17:28:37,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,9,нет,Тбилиси,1 гр,0.0054,3508,1325,118,49.0,True,,,,,,,,,,1gr HYBRID o.g
2,2,25-05-2020 17:28:37,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0259,16825,6357,564,235.0,,True,,,,,,,,,Cocaine Pure VHQ 1g
3,3,25-05-2020 17:28:37,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0903,64437,24345,2159,900.0,,True,,,,,,,,,Metadon 1gr
4,4,25-05-2020 17:28:37,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,2 гр,0.0078,5012,1894,168,70.0,,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
5,5,25-05-2020 17:28:37,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,1,нет,Тбилиси,3 гр,0.0143,9308,3517,312,130.0,,True,,,,,,,,,3 G Hybrid Marijuana Big Buds
6,6,25-05-2020 17:28:37,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,1,нет,Тбилиси,3 гр,0.0117,7518,2840,252,105.0,,True,,,,,,,,,3x Extasy Duracell 223mg MDMA
7,7,25-05-2020 17:28:37,Tbilisi,7bd1a5deba,10 - GRAMM BEASTWEED,,1,нет,Тбилиси,10 гр,0.0176,12529,4734,420,175.0,,True,,,,,,,,,10 - GRAMM BEASTWEED
8,8,25-05-2020 17:28:37,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0242,15680,5924,525,219.0,,,True,,,,,,,,10 gr georgian weed. Package on magnet
9,9,25-05-2020 17:28:37,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,10 гр,0.022000000000000002,14248,5383,477,199.0,,,True,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
