,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,22-06-2020 19:57:39,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,20,нет,Тбилиси,0.5 гр,0.0164,11048,4263,378,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,22-06-2020 19:57:39,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,8,нет,Тбилиси,0.5 гр,0.0178,12160,4692,416,175.0,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
2,2,22-06-2020 19:57:39,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,True,6,нет,Тбилиси,0.5 гр,0.0163,11117,4290,380,160.0,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
3,3,22-06-2020 19:57:39,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,15,нет,Тбилиси,0.5 гр,0.0031,2085,804,71,30.0,,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,22-06-2020 19:57:39,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",True,4,нет,Тбилиси,0.5 гр,0.0029,2085,804,71,30.0,,True,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
5,5,22-06-2020 19:57:39,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0139,10423,4022,356,150.0,,,,,,,,,,,KETAMIN WHQ 0.5g
6,6,22-06-2020 19:57:39,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0134,9033,3485,309,130.0,,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
7,7,22-06-2020 19:57:39,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,1 гр,0.006,4100,1582,140,59.0,,,,,,,,,,,1 G Hybrid Marijuana Buds
8,8,22-06-2020 19:57:39,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,2,нет,Тбилиси,1 гр,0.0059,4030,1555,138,58.0,,,True,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
9,9,22-06-2020 19:57:39,Tbilisi,16a8841259,Ak - 47 1г,True,1,нет,Тбилиси,1 гр,0.0056,3822,1475,131,55.0,,,,,,,,,,,Ak - 47 1g
10,10,22-06-2020 19:57:39,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G,True,3,нет,Тбилиси,1 гр,0.031,21123,8150,722,304.0,,,,True,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G
11,11,22-06-2020 19:57:39,Tbilisi,16a8841259,Skunk 1Г,True,2,нет,Тбилиси,1 гр,0.0056,3822,1475,131,55.0,,,,,,,,,,,Skunk 1G
12,12,22-06-2020 19:57:39,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0246,16607,6408,568,239.0,,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
13,13,22-06-2020 19:57:39,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,11,нет,Тбилиси,2 гр,0.0111,7574,2922,259,109.0,,,True,,,,,,,,2 G Hybrid Marijuana Buds
14,14,22-06-2020 19:57:39,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,1,нет,Тбилиси,2 гр,0.0112,7643,2949,261,110.0,,,True,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
15,15,22-06-2020 19:57:39,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,5,нет,Тбилиси,2 гр,0.0112,7643,2949,261,110.0,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
16,16,22-06-2020 19:57:39,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.009000000000000001,6115,2359,209,88.0,,,,,,,,,,,2gr HYBRID buds
17,17,22-06-2020 19:57:39,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,2,нет,Тбилиси,2 гр,0.009000000000000001,6115,2359,209,88.0,,,True,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
18,18,22-06-2020 19:57:39,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0087,5906,2279,202,85.0,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
19,19,22-06-2020 19:57:39,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,38,нет,Тбилиси,3 гр,0.0089,6045,2332,207,87.0,,,,,True,,,,,,3 gr georgian weed. Package on magnet
20,20,22-06-2020 19:57:39,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,2,нет,Тбилиси,3 гр,0.006999999999999999,4794,1850,164,69.0,,,,,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
21,21,22-06-2020 19:57:39,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,4 гр,0.0143,9728,3753,333,140.0,,,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
22,22,22-06-2020 19:57:39,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,5 гр,0.0131,8963,3458,306,129.0,,,,,,,,,,,5 gr georgian weed. Package on magnet
23,23,22-06-2020 19:57:39,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0222,16676,6434,570,240.0,,,,,,,,,,,5g. marihuana shishki Critical
24,24,22-06-2020 19:57:39,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.018000000000000002,12160,4692,416,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,25,22-06-2020 19:57:39,Tbilisi,54915c4374,марки н-боом 5шт.,True,12,10,Тбилиси,5 гр,0.0066,4516,1743,154,65.0,,True,,,,,,,,,marki n-boom 5sht.
26,26,22-06-2020 19:57:39,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,10 гр,0.0243,16607,6408,568,239.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
27,27,22-06-2020 19:57:39,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,19,нет,Тбилиси,10 гр,0.02,13549,5228,463,195.0,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
28,28,22-06-2020 19:57:39,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,7,нет,Тбилиси,10 гр,0.0203,13827,5335,473,199.0,,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
29,29,22-06-2020 19:57:39,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,4,нет,Тбилиси,11 гр,0.0167,12507,4826,428,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
30,30,22-06-2020 19:57:39,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0463,34742,13405,1188,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
31,31,22-06-2020 19:57:39,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,True,12,нет,Тбилиси,15 гр,0.0092,6254,2413,214,90.0,,,,,,,,,,,Silver haze leaves list'ja 15gr
32,32,22-06-2020 19:57:39,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2055,138967,53620,4751,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
33,33,22-06-2020 19:57:39,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",True,нет,4,Тбилиси,0.5 гр,0.0092,6254,2413,214,90.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
34,34,22-06-2020 19:57:39,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,7,Тбилиси,1 гр,0.0046,3127,1206,107,45.0,,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
35,35,22-06-2020 19:57:39,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0092,6254,2413,214,90.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
36,36,22-06-2020 19:58:38,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0379,25639,9893,877,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
37,37,22-06-2020 19:58:38,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.0086,5837,2258,200,,,,,,,75.0,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
38,38,22-06-2020 19:58:38,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,9,Тбилиси,3 гр,0.0122,8338,3217,285,120.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
39,39,22-06-2020 19:58:38,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0595,40231,15523,1376,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
40,40,22-06-2020 19:58:38,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,6,Тбилиси,4 гр,0.0407,27793,10724,950,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
41,41,22-06-2020 19:58:38,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),True,нет,10,Тбилиси,4 гр,0.0122,8338,3217,285,120.0,,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
42,42,22-06-2020 19:58:38,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0255,17371,6703,594,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
43,43,22-06-2020 19:58:38,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.055999999999999994,38216,14746,1307,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
44,44,22-06-2020 19:58:38,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0275,18761,7239,641,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
45,45,22-06-2020 19:58:38,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0285,19455,7507,665,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
