,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,15-05-2020 05:48:53,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,30,нет,Тбилиси,0.3 гр,0.0096,3221,232,7000,,,,,,,,,,,0.3 a-pvp white
1,15-05-2020 05:48:53,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,,1,нет,Тбилиси,0.4 гр,0.0037,1076,98,2957,True,40,,,,,,,,,suboxsone 0.4 g
2,15-05-2020 05:48:53,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0136,3632,331,9981,,135,,,,,,,,,Cocaine Pure VHQ 0.5g
3,15-05-2020 05:48:53,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,10,нет,Тбилиси,1 гр,0.0305,8043,733,22105,,299,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,15-05-2020 05:48:53,Tbilisi,BB6E,WEEDSH0P,1gr Stardawg Auto WEED BUDS,True,1,нет,Тбилиси,1 гр,0.0037,995,91,2735,,37,,,,,,,,,1gr Stardawg Auto WEED BUDS
5,15-05-2020 05:48:53,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0827,24210,2206,66537,,900,,,,,,,,,Metadon 1gr
6,15-05-2020 05:48:53,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0244,6429,586,17669,True,239,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,15-05-2020 05:48:53,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,2,нет,Тбилиси,1 гр,0.0111,2932,267,8058,True,109,,,,,,,,,✨ 1g. MDMA ✨
8,15-05-2020 05:48:53,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,10,нет,Тбилиси,2 гр,0.0101,2690,245,7393,,100,,,,,,,,,2 G Hybrid Marijuana Buds
9,15-05-2020 05:48:53,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,True,5,нет,Тбилиси,2 гр,0.0068,1802,164,4953,,67,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
10,15-05-2020 05:48:53,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,7,нет,Тбилиси,2 гр,0.008,2125,194,5840,,79,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
11,15-05-2020 05:48:53,Tbilisi,3Y9,HIGHTHC,2 гр INDICA марихуана шишки тгк 21% VHQ!!,True,3,нет,Тбилиси,2 гр,0.007,1856,169,5101,,69,,,,,,,,,2 gr INDICA marihuana shishki tgk 21% VHQ!!
12,15-05-2020 05:48:53,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0091,2394,218,6580,,89,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
13,15-05-2020 05:48:53,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,3,1,Тбилиси,2 гр,0.0071,1883,172,5175,,70,,,,,,,,,2x Extasy Duracell 223mg MDMA.
14,15-05-2020 05:48:53,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.009,2394,218,6580,True,89,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
15,15-05-2020 05:48:53,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0086,2287,208,6284,True,85,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
16,15-05-2020 05:48:53,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,5,нет,Тбилиси,3 гр,0.0131,3497,319,9611,,130,,,,,,,,,3 G Hybrid Marijuana Big Buds
17,15-05-2020 05:48:53,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0121,3201,292,8798,,119,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
18,15-05-2020 05:48:53,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0107,2825,257,7763,,105,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,15-05-2020 05:48:53,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0121,3201,292,8798,True,119,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
20,15-05-2020 05:48:53,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.031,8608,784,23658,,320,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,15-05-2020 05:48:53,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.03,8070,735,22179,,300,,,,,,,,,5 Grm Mdma Pure Quality A +++
22,15-05-2020 05:48:53,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.006,1587,145,4362,,59,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
23,15-05-2020 05:48:53,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,5 гр,0.012,3201,292,8798,True,119,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
24,15-05-2020 05:48:53,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0179,4708,429,12938,,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,15-05-2020 05:48:53,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1127,30935,2819,85019,,1150,,,,,,,,,VHQ BEST Cocaine 5g.
26,15-05-2020 05:48:53,Tbilisi,ETHA6,PABLITTO,GEORGIAN MARIJUANA - 7 GRAM,True,2,нет,Тбилиси,7 гр,0.0083,2421,221,6654,,90,,,,,,,,,GEORGIAN MARIJUANA - 7 GRAM
27,15-05-2020 05:48:53,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,10 гр,0.0201,5353,488,14712,True,199,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
28,15-05-2020 05:48:53,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0388,10760,980,29572,,400,,,,,,,,,gashish evro 10g
29,15-05-2020 05:48:53,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0753,20901,1905,57443,,777,,,,,,,,,Gashish Evro 20gr
30,15-05-2020 05:48:53,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1837,53800,4902,147860,,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,15-05-2020 05:48:53,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 0.1 грамма (предзаказ скидка 10%),True,нет,5,Тбилиси,0.1 гр,0.0049,1310,119,3596,,,,,45,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.1 gramma (predzakaz skidka 10%)
32,15-05-2020 05:48:53,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0098,2619,238,7191,,,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
33,15-05-2020 05:48:53,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,8,Тбилиси,0.5 гр,0.0076,2018,184,5545,,75,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
34,15-05-2020 05:48:53,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0162,4304,392,11829,,160,,,,,,,,,"""Kief"" Weed trichomes 1G"
35,15-05-2020 05:49:43,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0376,9926,905,27280,,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
36,15-05-2020 05:49:43,Tbilisi,Y6FO,Opiate,Methadone HQ in city 3g,True,нет,1,Тбилиси,3 гр,0.2525,67250,6128,184825,,2500,,,,,,,,,Methadone HQ in city 3g
37,15-05-2020 05:49:43,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0591,15575,1419,42805,,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,15-05-2020 05:49:43,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0404,10760,980,29572,,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,15-05-2020 05:49:43,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0141,3766,343,10350,True,140,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
40,15-05-2020 05:49:43,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0556,14795,1348,40661,,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,15-05-2020 05:49:43,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0237,6322,576,17374,,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
42,15-05-2020 05:49:43,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0242,6456,588,17743,,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
43,15-05-2020 05:49:43,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0232,6187,564,17004,,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
44,15-05-2020 05:49:43,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0161,4277,390,11755,,159,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
