,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Vake,Didube,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,12-05-2020 08:48:02,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,30,нет,Тбилиси,0.3 гр,0.0104,3221,232,7000,,,,,,,,,,,0.3 a-pvp white
1,1,12-05-2020 08:48:02,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0177,4310,387,11746,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,12-05-2020 08:48:02,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.0061,1491,134,4063,55.0,True,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,12-05-2020 08:48:02,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0145,3524,317,9603,130.0,,True,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,4,12-05-2020 08:48:02,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0066,1627,146,4432,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,5,12-05-2020 08:48:02,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0061,1491,134,4063,55.0,True,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
6,6,12-05-2020 08:48:02,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.0333,8106,728,22088,299.0,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,7,12-05-2020 08:48:02,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0259,6371,572,17360,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
8,8,12-05-2020 08:48:02,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0057,1410,127,3841,52.0,,,True,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
9,9,12-05-2020 08:48:02,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0262,6506,584,17729,240.0,,,,,,,,,,VHQ BEST Cocaine 1g.
10,10,12-05-2020 08:48:02,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0901,24399,2192,66485,900.0,,,,,,,,,,Metadon 1gr
