,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,29-05-2020 01:46:55,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,4,нет,Тбилиси,0.25 гр,0.0104,7110,2711,241,100.0,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,29-05-2020 01:46:55,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,15,нет,Тбилиси,0.5 гр,0.0167,11305,4310,383,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,29-05-2020 01:46:55,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0136,9243,3524,313,130.0,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
3,3,29-05-2020 01:46:55,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,15,нет,Тбилиси,1 гр,0.0313,21259,8106,720,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,4,29-05-2020 01:46:55,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0849,63991,24399,2168,900.0,,,,,,,,,,,Metadon 1gr
5,5,29-05-2020 01:46:55,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,,11,нет,Тбилиси,1 гр,0.0051,3484,1328,118,49.0,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
6,6,29-05-2020 01:46:55,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,2 гр,0.0073,4977,1898,169,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
7,7,29-05-2020 01:46:55,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0088,6044,2304,205,85.0,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
8,8,29-05-2020 01:46:55,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 2pc🌈🌈🌈🧞‍♀️,,4,нет,Тбилиси,2 гр,0.0092,6328,2413,214,89.0,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 2pc🌈🌈🌈🧞‍♀️
9,9,29-05-2020 01:46:55,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,9,нет,Тбилиси,3 гр,0.0125,8461,3226,287,119.0,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
10,10,29-05-2020 01:46:55,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,2,нет,Тбилиси,3 гр,0.0142,10665,4067,361,150.0,,,,,,,,,,,3g. marihuana shishki Critical
11,11,29-05-2020 01:46:55,Tbilisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0336,23463,8946,795,330.0,,,True,,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
12,12,29-05-2020 01:46:55,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,2,нет,Тбилиси,3 гр,0.0121,8177,3118,277,115.0,True,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
