,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,28-05-2020 01:00:56,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,True,7,нет,Тбилиси,0.5 гр,0.0058,3909,1495,132,55.0,,,,,,,,,,HQ Euro Hashish 0.5 g
1,1,28-05-2020 01:00:56,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,14,нет,Тбилиси,0.5 гр,0.0031,2061,788,70,29.0,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,2,28-05-2020 01:00:56,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0032,2132,815,72,30.0,True,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
3,3,28-05-2020 01:00:56,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0139,9238,3533,312,130.0,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,4,28-05-2020 01:00:56,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0248,16700,6387,564,235.0,True,,,,,,,,,Cocaine Pure VHQ 1g
5,5,28-05-2020 01:00:56,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0865,63957,24462,2162,900.0,True,,,,,,,,,Metadon 1gr
6,6,28-05-2020 01:00:56,Tbilisi,0dec0e1c48,2gr HYBRID buds,,17,нет,Тбилиси,2 гр,0.0093,6254,2392,211,88.0,True,,,,,,,,,2gr HYBRID buds
7,7,28-05-2020 01:00:56,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,2 гр,0.0075,4974,1903,168,70.0,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
8,8,28-05-2020 01:00:56,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0502,34110,13046,1153,480.0,True,,,,,,,,,VHQ BEST Cocaine 2g.
9,9,28-05-2020 01:00:56,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,1,нет,Тбилиси,2 гр,0.009000000000000001,6040,2310,204,85.0,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
10,10,28-05-2020 01:00:56,Tbilisi,8528108b62,3g. марихуана шишки Critical,,3,нет,Тбилиси,3 гр,0.0144,10660,4077,360,150.0,True,,,,,,,,,3g. marihuana shishki Critical
11,11,28-05-2020 01:00:56,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,1,нет,Тбилиси,3 гр,0.0112,7462,2854,252,105.0,True,,,,,,,,,3x Extasy Duracell 223mg MDMA
12,12,28-05-2020 01:00:56,Tbilisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0342,23451,8969,793,330.0,,True,,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
13,13,28-05-2020 01:00:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,,1,нет,Тбилиси,4 гр,0.0113,7604,2908,257,107.0,True,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
14,14,28-05-2020 01:00:56,Tbilisi,be97026d1d,!!Critical Kush 5g!!,,2,нет,Тбилиси,5 гр,0.0253,16984,6496,574,239.0,,,True,,,,,,,!!Critical Kush 5g!!
15,15,28-05-2020 01:00:56,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,6,нет,Тбилиси,5 гр,0.0147,9878,3778,334,139.0,,,True,,,,,,,5 gr georgian weed. Package on magnet
16,16,28-05-2020 01:00:56,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0187,12436,4757,420,175.0,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
17,17,28-05-2020 01:00:56,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,2,нет,Тбилиси,5 гр,0.0267,17766,6795,601,250.0,True,,,,,,,,,MARIXYANA - INDICA - 5 G.
18,18,28-05-2020 01:00:56,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1179,81723,31257,2762,1150.0,True,,,,,,,,,VHQ BEST Cocaine 5g.
19,19,28-05-2020 01:00:56,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,1,нет,Тбилиси,10 гр,0.0143,9594,3669,324,135.0,True,,,,,,,,,10G Hybrid Marijuana Leafs
20,20,28-05-2020 01:00:56,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0461,31979,12231,1081,450.0,True,,,,,,,,,Gashish Evro 10gr
21,21,28-05-2020 01:00:56,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,8,нет,Тбилиси,20 гр,0.0035,2558,978,86,36.0,True,,,,,,,,,GABAGAMA 20 SHTUK
22,22,28-05-2020 01:00:56,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0788,55216,21119,1866,777.0,True,,,,,,,,,Gashish Evro 20gr
