,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Didube,$,Vake,Vazisubani,Saburtalo,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,14-05-2020 02:24:17,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,19,нет,Тбилиси,0.3 гр,0.0098,3221,233,7000,,,,,,,,,,,,,0.3 a-pvp white
1,14-05-2020 02:24:17,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,,1,нет,Тбилиси,0.4 гр,0.0037,1076,98,2943,True,40,,,,,,,,,,,suboxsone 0.4 g
2,14-05-2020 02:24:17,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0165,4277,389,11700,,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,14-05-2020 02:24:17,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0028,726,66,1987,,27,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,14-05-2020 02:24:17,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0242,6322,575,17292,,235,,,,,,,,,,,Cocaine Pure VHQ 1g
5,14-05-2020 02:24:17,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0843,24210,2202,66224,,900,,,,,,,,,,,Metadon 1gr
6,14-05-2020 02:24:17,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0103,2690,245,7358,,100,,,,,,,,,,,2 G Hybrid Marijuana Buds
7,14-05-2020 02:24:17,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,True,8,нет,Тбилиси,2 гр,0.0082,2152,196,5887,,80,,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
8,14-05-2020 02:24:17,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,8,нет,Тбилиси,2 гр,0.0081,2125,193,5813,,79,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
9,14-05-2020 02:24:17,Tbilisi,3Y9,HIGHTHC,2 гр INDICA марихуана шишки тгк 21% VHQ!!,True,8,нет,Тбилиси,2 гр,0.0071,1856,169,5077,,69,,,,,,,,,,,2 gr INDICA marihuana shishki tgk 21% VHQ!!
10,14-05-2020 02:24:17,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0093,2394,218,6549,,89,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
11,14-05-2020 02:24:17,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0073,1883,171,5151,,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
12,14-05-2020 02:24:17,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0092,2394,218,6549,,89,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
13,14-05-2020 02:24:17,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0489,12912,1174,35319,,480,,,,,,,,,,,VHQ BEST Cocaine 2g.
14,14-05-2020 02:24:17,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0088,2287,208,6254,,85,,,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
15,14-05-2020 02:24:17,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,3 гр,0.0124,3201,291,8756,,119,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
16,14-05-2020 02:24:17,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0109,2825,257,7726,,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
17,14-05-2020 02:24:17,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0124,3201,291,8756,,119,,,True,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
18,14-05-2020 02:24:17,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0316,8608,783,23546,,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,14-05-2020 02:24:17,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0306,8070,734,22075,,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
20,14-05-2020 02:24:17,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.0061,1587,144,4341,,59,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
21,14-05-2020 02:24:17,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,5 гр,0.0123,3201,291,8756,,119,,True,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
22,14-05-2020 02:24:17,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0182,4708,428,12877,,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
23,14-05-2020 02:24:17,Tbilisi,ETHA6,PABLITTO,GEORGIAN MARIJUANA - 7 GRAM,True,4,нет,Тбилиси,7 гр,0.0084,2421,220,6622,,90,,,,,,,,,,,GEORGIAN MARIJUANA - 7 GRAM
24,14-05-2020 02:24:17,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,11,нет,Тбилиси,10 гр,0.0205,5353,487,14643,True,199,,True,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
25,14-05-2020 02:24:17,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0395,10760,979,29433,,400,,,,,,,,,,,gashish evro 10g
26,14-05-2020 02:24:17,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0768,20901,1901,57173,,777,,,,,,,,,,,Gashish Evro 20gr
