,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,10-05-2020 04:33:12,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,8,нет,Тбилиси,0.3 гр,0.0098,3221,231,7000,,,,,,,,,,,0.3 a-pvp white
1,10-05-2020 04:33:12,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0038,1084,98,2955,40,,,,,,,,,,suboxsone 0.4 g
2,10-05-2020 04:33:12,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,19,нет,Тбилиси,0.5 гр,0.0167,4310,388,11746,159,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,10-05-2020 04:33:12,Tbilisi,8B31,GEOWEEDSHOP,0.5g Cocaine. Quality not best but normal,True,2,нет,Тбилиси,0.5 гр,0.0103,2684,242,7313,99,,,,,,,,,,0.5g Cocaine. Quality not best but normal
4,10-05-2020 04:33:12,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.014,3660,330,9973,135,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,10-05-2020 04:33:12,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0136,3524,317,9603,130,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
6,10-05-2020 04:33:12,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,1 гр,0.0057,1491,134,4063,55,True,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,10-05-2020 04:33:12,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,7,нет,Тбилиси,1 гр,0.0314,8106,730,22088,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,10-05-2020 04:33:12,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0244,6371,574,17360,235,,,,,,,,,,Cocaine Pure VHQ 1g
9,10-05-2020 04:33:12,Tbilisi,UTYG,Greanheave,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.0042,1220,110,3324,45,,,,,,,,,,Lsd 25 buds 1 GR
10,10-05-2020 04:33:12,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,2,нет,Тбилиси,1 гр,0.0054,1410,127,3841,52,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
11,10-05-2020 04:33:12,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0247,6506,586,17729,240,,,,,,,,,,VHQ BEST Cocaine 1g.
12,10-05-2020 04:33:12,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.085,24399,2197,66485,900,,,,,,,,,,Metadon 1gr
