,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,11-02-2020 11:49:23,Tbilisi,1IZXK,BadboysTbl,Метадон 0.15гр,True,6,нет,Тбилиси,0.15 гр,0.0118,8290,3205,284,130,,,,,,,,,,,,Metadon 0.15gr
1,11-02-2020 11:49:23,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,8,нет,Тбилиси,0.25 гр,0.0164,11479,4437,393,180,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,11-02-2020 11:49:23,Tbilisi,RM0T,Funtomass,"methadone 0,29 gr",,6,нет,Тбилиси,0.29 гр,0.021,13392,5177,459,210,True,,,,,,,,,,,"methadone 0,29 gr"
3,11-02-2020 11:49:23,Tbilisi,1IZXK,BadboysTbl,Метадон 0.30гр,True,6,нет,Тбилиси,0.3 гр,0.0163,12116,4684,415,190,,,,,,,,,,,,Metadon 0.30gr
4,11-02-2020 11:49:23,Tbilisi,7R3WM,RastaShop,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,4,нет,Тбилиси,0.5 гр,0.0029,1849,715,63,29,,True,True,,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
5,11-02-2020 11:49:23,Tbilisi,Y7587,PVPStore,ALFA PVP in City 0.5g,True,5,нет,Тбилиси,0.5 гр,0.008,5102,1972,175,80,,,,,,,,,,,,ALFA PVP in City 0.5g
6,11-02-2020 11:49:23,Tbilisi,NLKH,STARS,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,2,нет,Тбилиси,0.5 гр,0.0045,2870,1109,98,45,,,,True,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
7,11-02-2020 11:49:23,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0273,19131,7395,655,300,,,,,,,,,,,,Metadon VHQ 0.5 24/7
8,11-02-2020 11:49:23,Tbilisi,1IZXK,BadboysTbl,Метадон 0.6гр,True,3,нет,Тбилиси,0.6 гр,0.0282,19769,7642,677,310,,,,,,,,,,,,Metadon 0.6gr
9,11-02-2020 11:49:23,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,5,нет,Тбилиси,0.8 гр,0.012,7653,2958,262,120,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
10,11-02-2020 11:49:23,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,26,нет,Тбилиси,1 гр,0.0041,2870,1109,98,45,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
11,11-02-2020 11:49:23,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,5,нет,Тбилиси,1 гр,0.005,3189,1233,109,50,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
12,11-02-2020 11:49:23,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,1 гр,0.0055,3507,1356,120,55,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
13,11-02-2020 11:49:23,Tbilisi,7R3WM,RastaShop,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,5,нет,Тбилиси,1 гр,0.0045,2870,1109,98,45,,True,,,,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
14,11-02-2020 11:49:23,Tbilisi,TFCQ,hqweed,1gr Green Poison Strong Hybrid VHQ Buds,True,1,нет,Тбилиси,1 гр,0.0048,3061,1183,105,48,,,,,,,,,,,,1gr Green Poison Strong Hybrid VHQ Buds
