,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,21-05-2020 21:02:09,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,9,нет,Тбилиси,0.5 гр,0.017,11277,4287,383,159.0,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,21-05-2020 21:02:09,Tbilisi,16a8841259,Ak - 47 0.5г,True,7,нет,Тбилиси,0.5 гр,0.0032,2128,809,72,30.0,,,,,,,,,,,,Ak - 47 0.5g
2,2,21-05-2020 21:02:09,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,22,нет,Тбилиси,0.5 гр,0.0031,2057,782,70,29.0,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,21-05-2020 21:02:09,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,3,нет,Тбилиси,0.5 гр,0.0032,2128,809,72,30.0,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,4,21-05-2020 21:02:09,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.0139,9220,3505,313,130.0,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,5,21-05-2020 21:02:09,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0249,16667,6336,566,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
6,6,21-05-2020 21:02:09,Tbilisi,917bf145e7,Lsd 25 buds 1 GR,True,2,нет,Тбилиси,1 гр,0.005,3688,1402,125,52.0,,,,,,,,,,,,Lsd 25 buds 1 GR
7,7,21-05-2020 21:02:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0252,17022,6470,578,240.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
8,8,21-05-2020 21:02:09,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0044,2908,1105,99,41.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
9,9,21-05-2020 21:02:09,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0868,63832,24264,2168,900.0,,,,,,,,,,,,Metadon 1gr
10,10,21-05-2020 21:02:09,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0256,16951,6443,576,239.0,True,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
11,11,21-05-2020 21:02:09,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,2 гр,0.0106,7092,2696,241,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
12,12,21-05-2020 21:02:09,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0075,4965,1887,169,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
13,13,21-05-2020 21:02:09,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,2 гр,0.0094,6312,2399,214,89.0,,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
14,14,21-05-2020 21:02:09,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0499,33334,12671,1132,470.0,,,,,,,,,,,,Cocaine Pure VHQ 2 g
15,15,21-05-2020 21:02:09,Tbilisi,917bf145e7,LSD 25 buds 2 GR,True,2,нет,Тбилиси,2 гр,0.0092,6738,2561,229,95.0,,,,,,,,,,,,LSD 25 buds 2 GR
16,16,21-05-2020 21:02:09,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.009000000000000001,6029,2292,205,85.0,True,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
17,17,21-05-2020 21:02:09,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0128,8440,3208,287,119.0,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
18,18,21-05-2020 21:02:09,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,1,нет,Тбилиси,3 гр,0.0138,9220,3505,313,130.0,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
19,19,21-05-2020 21:02:09,Tbilisi,4659482266,3g superskunk top class buds.,,7,нет,Тбилиси,3 гр,0.0134,8866,3370,301,125.0,,,,True,,,,,,,,3g superskunk top class buds.
20,20,21-05-2020 21:02:09,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0113,7447,2831,253,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,21,21-05-2020 21:02:09,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️4 LSD 200ug.🌈️‍🌈️‍🤩,,1,нет,Тбилиси,4 гр,0.0192,12695,4826,431,179.0,,True,,,,,,,,,,️‍🤩🌈️‍🌈️4 LSD 200ug.🌈️‍🌈️‍🤩
22,22,21-05-2020 21:02:09,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,1,нет,Тбилиси,5 гр,0.0147,9858,3747,335,139.0,True,,,,,,,,,,,5 gr georgian weed. Package on magnet
23,23,21-05-2020 21:02:09,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,5 гр,0.0126,8440,3208,287,119.0,,,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
24,24,21-05-2020 21:02:09,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,10 гр,0.0211,14114,5365,479,199.0,,,True,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
