,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Авлобари,Дигоми,Nadzaladevi,Тбилиси,Varketili,Old Tbilisi (Старый город),Saburtalo,Gldani,Vazisubani,€,Центр,Батуми,Кутаиси,desc_en
0,0,03-05-2020 09:07:22,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,True,3,нет,Тбилиси,0.5 гр,0.0057,4000,1496,133,55.0,,,,,,,,,,,,,,HQ Euro Hashish 0.5 g
1,1,03-05-2020 09:07:22,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,1,нет,Тбилиси,0.5 гр,0.0028,1964,734,65,27.0,,,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,2,03-05-2020 09:07:22,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,8,нет,Тбилиси,0.5 гр,0.0027,2109,789,70,29.0,True,True,True,,,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
3,3,03-05-2020 09:07:22,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,3,нет,Тбилиси,0.5 гр,0.003,2109,789,70,29.0,,,,True,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,4,03-05-2020 09:07:22,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,14,нет,Тбилиси,1 гр,0.0057,4000,1496,133,55.0,,,,True,,,,,,,,,,1 G Hybrid Marijuana Buds
5,5,03-05-2020 09:07:22,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",,1,нет,Тбилиси,1 гр,0.005,3491,1306,116,48.0,,,,True,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
6,6,03-05-2020 09:07:22,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",,3,нет,Тбилиси,1 гр,0.005,3491,1306,116,48.0,,,,True,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
7,7,03-05-2020 09:07:22,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,2,нет,Тбилиси,1 гр,0.0244,17091,6392,567,235.0,,,,True,,,,,,,,,,Cocaine Pure VHQ 1g
8,8,03-05-2020 09:07:22,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,2,нет,Тбилиси,1 гр,0.0039,2982,1115,99,41.0,,,,True,,,,,,,,,,Hybrid Ana-sha 1G.
9,9,03-05-2020 09:07:22,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,4,нет,Тбилиси,1 гр,0.0057,4000,1496,133,55.0,,,,True,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
10,10,03-05-2020 09:07:22,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%",,5,нет,Тбилиси,1 гр,0.0046,3564,1333,118,49.0,True,True,True,,True,,,,,,,,,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%"
11,11,03-05-2020 09:07:22,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0238,16654,6229,553,229.0,,,,,,True,,,,,,,,Kokain KOLUMBIA 1g
12,12,03-05-2020 09:07:22,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0851,65454,24480,2173,900.0,,,,True,,,,,,,,,,Metadon 1gr
13,13,03-05-2020 09:07:22,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0251,17382,6501,577,239.0,,,,,,,True,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
14,14,03-05-2020 09:07:22,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,3,нет,Тбилиси,1.5 гр,0.0066,5091,1904,169,70.0,True,True,True,,,,,,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
15,15,03-05-2020 09:07:22,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,5,нет,Тбилиси,2 гр,0.0094,6473,2421,215,89.0,,,,True,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
16,16,03-05-2020 09:07:22,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0104,7273,2720,241,100.0,,,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
17,17,03-05-2020 09:07:22,Tbilisi,4659482266,2g super Skunk top class buds.,,7,нет,Тбилиси,2 гр,0.0089,6182,2312,205,85.0,,,,,,,,True,,,,,,2g super Skunk top class buds.
18,18,03-05-2020 09:07:22,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0103,7200,2693,239,99.0,,,,True,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
19,19,03-05-2020 09:07:22,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0489,34181,12784,1135,470.0,,,,True,,,,,,,,,,Cocaine Pure VHQ 2 g
20,20,03-05-2020 09:07:22,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0494,34909,13056,1159,480.0,,,,True,,,,,,,,,,VHQ BEST Cocaine 2g.
21,21,03-05-2020 09:07:22,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,2,Тбилиси,2 гр,0.0088,6182,2312,205,85.0,,,,,,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
22,22,03-05-2020 09:07:22,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,5,нет,Тбилиси,3 гр,0.0125,8654,3237,287,119.0,,,,True,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
23,23,03-05-2020 09:07:22,Tbilisi,4659482266,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0125,8654,3237,287,119.0,,,,,,,,True,,,,,,3g superskunk top class buds.
24,24,03-05-2020 09:07:22,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,7,нет,Тбилиси,3 гр,0.011000000000000001,7636,2856,254,105.0,,,,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
25,25,03-05-2020 09:07:22,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,,14,нет,Тбилиси,3 гр,0.0104,7273,2720,241,100.0,,,,True,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
26,26,03-05-2020 09:07:22,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0319,23272,8704,773,320.0,,,,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,27,03-05-2020 09:07:22,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.0309,21818,8160,724,300.0,,,,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,28,03-05-2020 09:07:22,Tbilisi,8ddca45a78,5g WEED MIX ///GORILLA GLUE -2gr + LEMON SKUNK -3gr,,1,нет,Тбилиси,5 гр,0.0229,16000,5984,531,220.0,,,,True,,,,,,,,,,5g WEED MIX ///GORILLA GLUE -2gr + LEMON SKUNK -3gr
29,29,03-05-2020 09:07:22,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0184,12727,4760,423,175.0,,,,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,03-05-2020 09:07:22,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,,7,нет,Тбилиси,5 гр,0.0166,11636,4352,386,160.0,,,,True,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
31,31,03-05-2020 09:07:22,Tbilisi,83f3d55917,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,1,нет,Тбилиси,8 гр,0.0395,27636,10336,917,380.0,,,,,,,,,True,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
32,32,03-05-2020 09:07:22,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,6,нет,Тбилиси,10 гр,0.0217,15200,5685,505,209.0,,,,True,,,True,,,,,,,10 gr marijuana buds. -indica-
33,33,03-05-2020 09:07:22,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0399,29091,10880,966,400.0,,,,True,,,,,,,,,,gashish evro 10g
34,34,03-05-2020 09:07:22,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,10,нет,Тбилиси,20 гр,0.0421,29454,11016,978,405.0,,True,,True,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
35,35,03-05-2020 09:07:22,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0776,56508,21134,1876,777.0,,,,True,,,,,,,,,,Gashish Evro 20gr
36,36,03-05-2020 09:08:16,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1891,145453,54400,4829,2000.0,,,,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,03-05-2020 09:08:16,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",,нет,14,Тбилиси,0.2 гр,0.0041,2836,1061,94,39.0,,,,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
