,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,10-05-2020 23:44:48,Tbilisi,OX85,amnesia420,"0,5g GORILLA GLUE #4 (Hybrid, more indica)",True,1,нет,Тбилиси,0.5 гр,0.0032,2068,759,68,28,,,,,,,,,"0,5g GORILLA GLUE #4 (Hybrid, more indica)"
1,10-05-2020 23:44:48,Tbilisi,OX85,amnesia420,"0,5g WHITE WIDOW (Hybrid, more sativa)",True,2,нет,Тбилиси,0.5 гр,0.0032,2068,759,68,28,,,,,,,,,"0,5g WHITE WIDOW (Hybrid, more sativa)"
2,10-05-2020 23:44:48,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,15,нет,Тбилиси,0.5 гр,0.0182,11746,4310,388,159,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,10-05-2020 23:44:48,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,14,нет,Тбилиси,0.5 гр,0.0031,1995,732,66,27,True,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,10-05-2020 23:44:48,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0149,9603,3524,317,130,,True,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,10-05-2020 23:44:48,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,1 гр,0.0062,4063,1491,134,55,True,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
6,10-05-2020 23:44:48,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0052,3768,1383,125,51,True,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
7,10-05-2020 23:44:48,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,6,нет,Тбилиси,1 гр,0.0342,22088,8106,730,299,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,10-05-2020 23:44:48,Tbilisi,OX85,amnesia420,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,6,нет,Тбилиси,1 гр,0.0054,3546,1301,117,48,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
9,10-05-2020 23:44:48,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0054,3546,1301,117,48,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
