,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
0,01-08-2020 05:51:27,Tbilisi,OX85,amnesia420,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,5,нет,Тбилиси,0.5 гр,0.0024,2056,780,68,28,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
1,01-08-2020 05:51:27,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,5,нет,Тбилиси,0.5 гр,0.0024,2056,780,68,28,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,01-08-2020 05:51:27,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,3,нет,Тбилиси,0.5 гр,0.0029,2423,919,80,33,,,,,,,,,,,,0.5 gr HYBRID buds
3,01-08-2020 05:51:27,Tbilisi,9Y6T,WeedShop,0.5г Northen Light,True,4,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31,,,,,,,,,,,,0.5g Northen Light
4,01-08-2020 05:51:27,Tbilisi,9Y6T,WeedShop,0.5г Skunk,True,5,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31,,,,,,,,,,,,0.5g Skunk
5,01-08-2020 05:51:27,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),,9,нет,Тбилиси,0.5 гр,0.003,2496,947,83,34,True,,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
6,01-08-2020 05:51:27,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,6,нет,Тбилиси,0.5 гр,0.003,2496,947,83,34,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
7,01-08-2020 05:51:27,Tbilisi,9Y6T,WeedShop,Tangerine 0.5г,True,10,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32,,,,,,,,,,,,Tangerine 0.5g
8,01-08-2020 05:51:27,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,13,нет,Тбилиси,0.5 гр,0.0026,2203,836,73,30,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
9,01-08-2020 05:51:27,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0052,4406,1672,146,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,01-08-2020 05:51:27,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,1 гр,0.0052,4406,1672,146,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
11,01-08-2020 05:51:27,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,5,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59,,,,,,,,,,,,1 gr super lemon haze probnik
12,01-08-2020 05:51:27,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,5,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
13,01-08-2020 05:51:27,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
14,01-08-2020 05:51:27,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,1 гр,0.0052,4332,1644,144,59,True,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
15,01-08-2020 05:51:27,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,1 гр,0.0049,4038,1532,134,55,,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
16,01-08-2020 05:51:27,Tbilisi,7R3WM,RastaShop,1.0 gr. AK-47 (60/40 Sativa/Indica),,2,нет,Тбилиси,1 гр,0.0041,3451,1309,115,47,,,True,,,,,,,,,1.0 gr. AK-47 (60/40 Sativa/Indica)
17,01-08-2020 05:51:27,Tbilisi,7R3WM,RastaShop,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,1 гр,0.0046,3892,1477,129,53,True,,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
18,01-08-2020 05:51:27,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,2,нет,Тбилиси,1 гр,0.0052,4406,1672,146,60,True,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
19,01-08-2020 05:51:27,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,16,нет,Тбилиси,1 гр,0.0043,3598,1365,119,49,,,,,,,,,,,,1gr HYBRID o.g
20,01-08-2020 05:51:27,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,5,нет,Тбилиси,1 гр,0.0043,3598,1365,119,49,True,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
21,01-08-2020 05:51:27,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,16,нет,Тбилиси,1 гр,0.004,3378,1282,112,46,,,,,,,,,,,,Amsterdam weed sativa 1gr
22,01-08-2020 05:51:27,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,21,нет,Тбилиси,1 гр,0.0035,3000,1380,99,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
23,01-08-2020 05:51:27,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,1,нет,Тбилиси,1 гр,0.0033,3010,1142,100,41,,,,,,,,,,,,Hybrid Ana-sha 1G.
24,01-08-2020 05:51:27,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0044,4038,1532,134,55,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
25,01-08-2020 05:51:27,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0051,4259,1616,141,58,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
26,01-08-2020 05:51:27,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0044,3671,1393,122,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
27,01-08-2020 05:51:27,Tbilisi,I7IU,MrPickless,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,3,нет,Тбилиси,1 гр,0.0038,3304,1254,110,45,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
28,01-08-2020 05:51:27,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,2 гр,0.0105,8811,3343,293,120,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
29,01-08-2020 05:51:27,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0105,8811,3343,293,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
