,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Батуми,Центр,desc_en
0,09-08-2020 05:30:48,Tbilisi,OX85,amnesia420,"0,5G ☠️DURBAN POISON (100% sativa)",True,2,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29,,,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
1,09-08-2020 05:30:48,Tbilisi,OX85,amnesia420,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,5,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
2,09-08-2020 05:30:48,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,4,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
3,09-08-2020 05:30:48,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.0028,2430,919,81,33,,,,,,,,,,,,0.5 gr HYBRID buds
4,09-08-2020 05:30:48,Tbilisi,7R3WM,RastaShop,0.5 gr. Afghan kush 100% Natural (Indika),,2,нет,Тбилиси,0.5 гр,0.0026,2283,864,76,31,True,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
5,09-08-2020 05:30:48,Tbilisi,7R3WM,RastaShop,0.5 gr. Magic Kush IMPORT (INDICA),,3,нет,Тбилиси,0.5 гр,0.0026,2283,864,76,31,True,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
6,09-08-2020 05:30:48,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),True,22,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
7,09-08-2020 05:30:48,Tbilisi,9Y6T,WeedShop,0.5Gramm 😬 WEEDSHOP TBILISI HIGH THC BUDS,,2,нет,Тбилиси,0.5 гр,0.0022,1915,724,64,26,True,,,,,,,,,,,0.5Gramm 😬 WEEDSHOP TBILISI HIGH THC BUDS
8,09-08-2020 05:30:48,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0025,2209,836,73,30,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
9,09-08-2020 05:30:48,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
10,09-08-2020 05:30:48,Tbilisi,I7IU,MrPickless,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,2,нет,Тбилиси,0.5 гр,0.0019,1767,669,59,24,,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
11,09-08-2020 05:30:48,Tbilisi,9Y6T,WeedShop,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,8,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25,True,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
12,09-08-2020 05:30:48,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
13,09-08-2020 05:30:48,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,19,нет,Тбилиси,1 гр,0.005,4345,1644,144,59,,,,,,,,,,,,1 G Hybrid Marijuana Buds
14,09-08-2020 05:30:48,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
15,09-08-2020 05:30:48,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
