,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Saburtalo,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,01-05-2020 19:06:58,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,2,нет,Тбилиси,0.3 гр,0.0088,2761,199,6000,,,,,,,,,,,,,,0.3 a-pvp white
1,1,01-05-2020 19:06:58,Tbilisi,8ddca45a78,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,4,нет,Тбилиси,0.5 гр,0.003,762,68,2036,28.0,,,,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
2,2,01-05-2020 19:06:58,Tbilisi,f25c0d6c5c,0.5 a-pvp white,True,3,нет,Тбилиси,0.5 гр,0.0117,3681,266,8000,,,,,,,,,,,,,,0.5 a-pvp white
3,3,01-05-2020 19:06:58,Tbilisi,2f51af8159,Hashish Malana Charas 0.5 g,,4,нет,Тбилиси,0.5 гр,0.0055,1414,126,3782,52.0,True,,,,,,,,,,,,Hashish Malana Charas 0.5 g
4,4,01-05-2020 19:06:58,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0026,653,58,1745,24.0,,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
5,5,01-05-2020 19:06:58,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,14,нет,Тбилиси,0.5 гр,0.0031,789,70,2109,29.0,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
6,6,01-05-2020 19:06:58,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,1 гр,0.0059,1496,133,4000,55.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
7,7,01-05-2020 19:06:58,Tbilisi,f25c0d6c5c,1 a-pvp white,True,3,нет,Тбилиси,1 гр,0.0205,6442,465,14000,,,,,,,,,,,,,,1 a-pvp white
8,8,01-05-2020 19:06:58,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0051,1306,116,3491,48.0,,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
9,9,01-05-2020 19:06:58,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,3,нет,Тбилиси,1 гр,0.0051,1306,116,3491,48.0,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
10,10,01-05-2020 19:06:58,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,2,нет,Тбилиси,1 гр,0.004,1115,99,2982,41.0,,,,,,,,,,,,,Hybrid Ana-sha 1G.
11,11,01-05-2020 19:06:58,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0244,6229,553,16654,229.0,,,True,,,,,,,,,,Kokain KOLUMBIA 1g
12,12,01-05-2020 19:06:58,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0873,24480,2173,65454,900.0,,,,,,,,,,,,,Metadon 1gr
13,13,01-05-2020 19:06:58,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0257,6501,577,17382,239.0,,True,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
14,14,01-05-2020 19:06:58,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0091,2312,205,6182,85.0,,True,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
15,15,01-05-2020 19:06:58,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,1,нет,Тбилиси,3 гр,0.0139,3536,314,9454,130.0,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
16,16,01-05-2020 19:06:58,Tbilisi,4659482266,3g superskunk top class buds.,,5,нет,Тбилиси,3 гр,0.0128,3237,287,8654,119.0,,,,True,,,,,,,,,3g superskunk top class buds.
17,17,01-05-2020 19:06:58,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0113,2856,254,7636,105.0,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
18,18,01-05-2020 19:06:58,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0328,8704,773,23272,320.0,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,19,01-05-2020 19:06:58,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0317,8160,724,21818,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
20,20,01-05-2020 19:06:58,Tbilisi,83f3d55917,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,1,нет,Тбилиси,8 гр,0.0405,10336,917,27636,380.0,,,,,True,,,,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
21,21,01-05-2020 19:06:58,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,12,нет,Тбилиси,10 гр,0.0223,5685,505,15200,209.0,,True,,,,True,,,,,,,10 gr marijuana buds. -indica-
22,22,01-05-2020 19:06:58,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,1,нет,Тбилиси,10 гр,0.032,8160,724,21818,300.0,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
23,23,01-05-2020 19:06:58,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0409,10880,966,29091,400.0,,,,,,,,,,,,,gashish evro 10g
24,24,01-05-2020 19:06:58,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,9,нет,Тбилиси,20 гр,0.0432,11016,978,29454,405.0,,True,,,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
25,25,01-05-2020 19:06:58,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0795,21134,1876,56508,777.0,,,,,,,,,,,,,Gashish Evro 20gr
26,26,01-05-2020 19:06:58,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,True,1,нет,Тбилиси,50 гр,0.1066,27173,2412,72654,999.0,,,,,,,,,,,,,50 gr Marihuana shishki. INDIKA
27,27,01-05-2020 19:06:58,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1939,54400,4829,145453,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
28,28,01-05-2020 19:06:58,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,16,Тбилиси,0.2 гр,0.0042,1061,94,2836,39.0,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
29,29,01-05-2020 19:06:58,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0144,3672,326,9818,135.0,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
30,30,01-05-2020 19:06:58,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0348,9801,867,26109,,,,,,,,,330.0,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
31,31,01-05-2020 19:06:58,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,45,Тбилиси,2 гр,0.0037,952,85,2545,35.0,,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
32,32,01-05-2020 19:06:58,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0226,5712,507,15273,210.0,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
33,33,01-05-2020 19:06:58,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0398,10037,891,26836,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
34,34,01-05-2020 19:07:41,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0427,10880,966,29091,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,35,01-05-2020 19:07:41,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,True,нет,9,Тбилиси,4 гр,0.0064,1632,145,4364,60.0,,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
36,36,01-05-2020 19:07:41,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0587,14960,1328,39999,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,37,01-05-2020 19:07:41,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0181,4624,410,12363,170.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,38,01-05-2020 19:07:41,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,True,нет,3,Тбилиси,5 гр,0.0233,5930,526,15854,218.0,,,,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
39,39,01-05-2020 19:07:41,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0212,5413,480,14473,199.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,01-05-2020 19:07:41,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0212,5413,480,14473,199.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,01-05-2020 19:07:41,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0212,5957,529,15927,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,01-05-2020 19:07:41,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0212,5413,480,14473,199.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,01-05-2020 19:07:41,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2533,87429,6306,190000,,,,,,,,,,,,,,reagent 25i nbome. 5gr
44,44,01-05-2020 19:07:41,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2909,81600,7243,218179,3000.0,,,True,,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
45,45,01-05-2020 19:07:41,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1033,26085,2315,69745,959.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
46,46,01-05-2020 19:07:41,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0204,5141,456,13745,189.0,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
47,47,01-05-2020 19:07:41,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0205,5168,459,13818,190.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,48,01-05-2020 19:07:41,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0527,13301,1181,35563,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
49,49,01-05-2020 19:07:41,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,4,Тбилиси,5 гр,0.0204,5141,456,13745,189.0,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,50,01-05-2020 19:07:41,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,10,Тбилиси,10 гр,0.0117,2992,266,8000,110.0,,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
51,51,01-05-2020 19:07:41,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.096,24480,2173,65454,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,01-05-2020 19:07:41,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0747,19040,1690,50908,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,53,01-05-2020 19:07:41,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0341,8704,773,23272,320.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,54,01-05-2020 19:07:41,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0853,21760,1931,58181,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,01-05-2020 19:07:41,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2373,60520,5372,161816,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
56,56,01-05-2020 19:07:41,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.168,42405,3764,113380,1559.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
57,57,01-05-2020 19:07:41,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0398,10037,891,26836,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,58,01-05-2020 19:07:41,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0339,8568,761,22909,315.0,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
59,59,01-05-2020 19:07:41,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5387,136000,12072,363632,5000.0,,,,,,,,,,,,,METADON - 20 G.
