,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,22-04-2020 11:28:00,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,5,нет,Тбилиси,0.5 гр,0.0187,10295,3699,335,135.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,22-04-2020 11:28:00,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0185,10295,3699,335,135.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,22-04-2020 11:28:00,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,1 гр,0.0069,4194,1507,137,55.0,,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,22-04-2020 11:28:00,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0323,17920,6439,583,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
4,4,22-04-2020 11:28:00,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0326,18301,6576,596,240.0,,,,,,,,,,VHQ BEST Cocaine 1g.
5,5,22-04-2020 11:28:00,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0299,16776,6028,546,220.0,,,,,,,,,,Kokain HQ 1g.
6,6,22-04-2020 11:28:00,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1123,68631,24660,2234,900.0,,,,,,,,,,Metadon 1gr
7,7,22-04-2020 11:28:00,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,2 гр,0.0125,7626,2740,248,100.0,,,,,,,,,,2 G Hybrid Marijuana Buds
8,8,22-04-2020 11:28:00,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,1,нет,Тбилиси,2 гр,0.0117,6482,2329,211,85.0,True,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
9,9,22-04-2020 11:28:00,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.011000000000000001,6024,2165,196,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
10,10,22-04-2020 11:28:00,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA. Варкетили,True,1,нет,Тбилиси,2 гр,0.0097,5338,1918,174,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
11,11,22-04-2020 11:28:00,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,True,2,нет,Тбилиси,2 гр,0.0097,5338,1918,174,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
12,12,22-04-2020 11:28:00,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0117,6482,2329,211,85.0,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
13,13,22-04-2020 11:28:00,Tbilisi,4659482266,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0165,9074,3261,295,119.0,,,True,,,,,,,3g superskunk top class buds. Indica
14,14,22-04-2020 11:28:00,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0146,8007,2877,261,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
15,15,22-04-2020 11:28:00,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,1,нет,Тбилиси,3 гр,0.0137,7626,2740,248,100.0,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
16,16,22-04-2020 11:28:00,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),True,3,нет,Тбилиси,4 гр,0.0076,4194,1507,137,55.0,,,,,,,,,,N booom 4 shtuki (300 aragveli)
17,17,22-04-2020 11:28:00,Tbilisi,54915c4374,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0076,4194,1507,137,55.0,,,,,,,,,,N booom 4 shtuki (vazisubani)
18,18,22-04-2020 11:28:00,Tbilisi,54915c4374,Н бооом 4 штуки (глдани),,3,нет,Тбилиси,4 гр,0.0076,4194,1507,137,55.0,,,True,,,,,,,N booom 4 shtuki (gldani)
19,19,22-04-2020 11:28:00,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0276,15175,5453,494,199.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
20,20,22-04-2020 11:28:00,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0421,24402,8768,794,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,21,22-04-2020 11:28:00,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0408,22877,8220,745,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
22,22,22-04-2020 11:28:00,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0232,12887,4631,420,169.0,True,,,,,,,,,5gr Stardawg Auto WEED BUDS
23,23,22-04-2020 11:28:00,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1531,87695,31510,2855,1150.0,,,,,,,,,,VHQ BEST Cocaine 5g.
24,24,22-04-2020 11:28:00,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,1,нет,Тбилиси,10 гр,0.0412,22877,8220,745,300.0,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
25,25,22-04-2020 11:28:00,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,2,нет,Тбилиси,10 гр,0.0137,7626,2740,248,100.0,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
26,26,22-04-2020 11:28:00,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0527,30502,10960,993,400.0,,,,,,,,,,gashish evro 10g
27,27,22-04-2020 11:28:00,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1023,59251,21290,1929,777.0,,,,,,,,,,Gashish Evro 20gr
28,28,22-04-2020 11:28:00,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2496,152512,54800,4965,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
29,29,22-04-2020 11:28:00,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0512,28139,10111,916,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,30,22-04-2020 11:28:00,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0818,44991,16166,1465,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
