,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Nadzaladevi,Didube,€,Авлобари,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
0,0,30-04-2020 20:24:04,Tbilisi,8ddca45a78,"0,5g NORTHERN LIGHTS (Indica)",True,3,нет,Тбилиси,0.5 гр,0.0031,2036,760,68,28.0,,,,,,,,,,,,"0,5g NORTHERN LIGHTS (Indica)"
1,1,30-04-2020 20:24:04,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0148,9818,3665,329,135.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,30-04-2020 20:24:04,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0026,1745,652,58,24.0,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,30-04-2020 20:24:04,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,2,нет,Тбилиси,0.5 гр,0.0029,2109,787,71,29.0,,True,True,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
4,4,30-04-2020 20:24:04,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,12,нет,Тбилиси,0.5 гр,0.0032,2109,787,71,29.0,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,30-04-2020 20:24:04,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,8,нет,Тбилиси,1 гр,0.006,4000,1493,134,55.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,6,30-04-2020 20:24:04,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0053,3491,1303,117,48.0,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
7,7,30-04-2020 20:24:04,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0053,3491,1303,117,48.0,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
8,8,30-04-2020 20:24:04,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0258,17091,6380,572,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,30-04-2020 20:24:04,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,4,нет,Тбилиси,1 гр,0.0041,2982,1113,100,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
