,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,17-05-2020 20:28:15,Tbilisi,H9FHF,OldStar,0.3 a-pvp white,True,30,нет,Тбилиси,0.3 гр,0.0096,3221,234,7000,,,,,,,,,,,0.3 a-pvp white
1,17-05-2020 20:28:15,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,7,нет,Тбилиси,1 гр,0.0303,8028,731,21888,299,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
2,17-05-2020 20:28:15,Tbilisi,OX85,amnesia420,"1g LEMON SKUNK (Hybrid, more Sativa)",True,3,нет,Тбилиси,1 гр,0.005,1343,122,3660,50,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
3,17-05-2020 20:28:15,Tbilisi,OX85,amnesia420,"1g SOUR DIESEL (Hybrid, Sativa)",True,2,нет,Тбилиси,1 гр,0.005,1343,122,3660,50,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
4,17-05-2020 20:28:15,Tbilisi,AU2VI,growershop,Silver Haze | 90% sativa 10% indica | 1g,True,2,нет,Тбилиси,1 гр,0.0046,1343,122,3660,50,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 1g
5,17-05-2020 20:28:15,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0822,24165,2202,65885,900,,,,,,,,,,Metadon 1gr
6,17-05-2020 20:28:15,Tbilisi,LYHBG,Playboy,2 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,2 гр,0.009,2390,218,6515,89,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
7,17-05-2020 20:28:15,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0071,1880,171,5124,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
8,17-05-2020 20:28:15,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0089,2390,218,6515,89,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
9,17-05-2020 20:28:15,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,6,нет,Тбилиси,2 гр,0.0088,2363,215,6442,88,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
10,17-05-2020 20:28:15,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0121,3195,291,8711,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
11,17-05-2020 20:28:15,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,3 гр,0.0121,3195,291,8711,119,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
12,17-05-2020 20:28:15,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0107,2819,257,7687,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,17-05-2020 20:28:15,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0121,3195,291,8711,119,True,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
14,17-05-2020 20:28:15,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,5 гр,0.012,3195,291,8711,119,True,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
15,17-05-2020 20:28:15,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0178,4699,428,12811,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
16,17-05-2020 20:28:15,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,10 гр,0.02,5343,487,14568,199,,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
17,17-05-2020 20:28:15,Tbilisi,PTO3,MeDuZa777,THE BEST GAGARIN WEED 10g (TOP)(VHQ) NEW NEW NEW,True,6,нет,Тбилиси,10 гр,0.0352,9398,856,25622,350,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ) NEW NEW NEW
18,17-05-2020 20:28:15,Tbilisi,ETHA6,PABLITTO,GEORGIAN MARIJUANA 44-GRAMM,True,1,нет,Тбилиси,44 гр,0.0457,13425,1223,36603,500,,,,,,,,,,GEORGIAN MARIJUANA 44-GRAMM
19,17-05-2020 20:28:15,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1827,53700,4892,146411,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,17-05-2020 20:28:15,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 0.1 грамма (предзаказ скидка 10%),True,нет,4,Тбилиси,0.1 гр,0.0049,1305,119,3561,,,,,45,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.1 gramma (predzakaz skidka 10%)
21,17-05-2020 20:28:15,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0098,2610,238,7122,,,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
22,17-05-2020 20:28:15,Tbilisi,A3I9,Joookerrr,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.008,2148,196,5856,80,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
23,17-05-2020 20:28:15,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,7,Тбилиси,0.5 гр,0.0075,2014,183,5490,75,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
24,17-05-2020 20:28:15,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0161,4296,391,11713,160,,,,,,,,,,"""Kief"" Weed trichomes 1G"
25,17-05-2020 20:28:15,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0374,9908,903,27013,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
