,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
10,10,13-07-2020 02:44:34,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,7,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
11,11,13-07-2020 02:44:34,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,12,нет,Тбилиси,1 гр,0.0057,3918,1499,134,,True,55.0,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
12,12,13-07-2020 02:44:34,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,3,нет,Тбилиси,1 гр,0.0052,3918,1499,134,,True,55.0,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
13,13,13-07-2020 02:44:34,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,2,нет,Тбилиси,1 гр,0.0061,4131,1581,141,,True,58.0,,True,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
14,14,13-07-2020 02:44:34,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0052,3918,1499,134,,True,55.0,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
15,15,13-07-2020 02:44:34,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,4,нет,Тбилиси,1 гр,0.0071,4816,1842,165,60.0,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
16,16,13-07-2020 02:44:34,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 1.5gram,,1,нет,Тбилиси,1.5 гр,0.0071,5342,2044,182,,True,75.0,,,,,,,,,,,Northern Lights Regular [budsonly] 1.5gram
17,17,13-07-2020 02:44:34,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0115,7835,2998,267,,True,110.0,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
18,18,13-07-2020 02:44:34,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0125,8548,3270,292,,True,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,13-07-2020 02:44:34,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0125,8548,3270,292,,True,120.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,20,13-07-2020 02:44:34,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0125,8548,3270,292,,True,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,21,13-07-2020 02:44:34,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,2 гр,0.0104,7123,2725,243,,True,100.0,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
22,22,13-07-2020 02:44:34,Tbilisi,0dec0e1c48,2gr HYBRID buds,,2,нет,Тбилиси,2 гр,0.0092,6268,2398,214,,True,88.0,,,,,,,,,,,2gr HYBRID buds
23,23,13-07-2020 02:44:34,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0125,8548,3270,292,,True,120.0,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
24,24,13-07-2020 02:44:34,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,9,нет,Тбилиси,2 гр,0.0104,7835,2998,267,,,110.0,,True,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
25,25,13-07-2020 02:44:34,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,3,нет,Тбилиси,2 гр,0.0104,7835,2998,267,,True,110.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
26,26,13-07-2020 02:44:34,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram,,2,нет,Тбилиси,2 гр,0.009000000000000001,6767,2589,231,,True,95.0,,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
27,27,13-07-2020 02:44:34,Tbilisi,fccfd69694,Бошки OG Kush 2g.,,1,нет,Тбилиси,2 гр,0.0084,5698,2180,194,,True,80.0,,,,,,,,,,,Boshki OG Kush 2g.
28,28,13-07-2020 02:44:34,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0142,10684,4088,365,,True,150.0,,,,,,,,,,,3g. marihuana shishki Critical
29,29,13-07-2020 02:44:34,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,29,нет,Тбилиси,3 гр,0.0058,3918,1499,134,,True,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
30,30,13-07-2020 02:44:34,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,5,нет,Тбилиси,3 гр,0.0036,2422,927,83,,,34.0,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
31,31,13-07-2020 02:44:34,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0271,18520,7085,632,,True,260.0,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
32,32,13-07-2020 02:44:34,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0282,19232,7358,656,,True,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
33,33,13-07-2020 02:44:34,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0228,17095,6540,583,,True,240.0,,,,,,,,,,,5g. marihuana shishki Critical
34,34,13-07-2020 02:44:34,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0228,17095,6540,583,,,240.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
35,35,13-07-2020 02:45:21,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0455,32053,12263,1094,,True,450.0,,,,,,,,,,,Gashish Evro 10gr
36,36,13-07-2020 02:45:21,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,1,нет,Тбилиси,10 гр,0.009000000000000001,6767,2589,231,,True,95.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
37,37,13-07-2020 02:45:21,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0171,12821,4905,437,,True,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
38,38,13-07-2020 02:45:21,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0474,35615,13625,1215,,True,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
39,39,13-07-2020 02:45:21,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4630,1771,158,,True,65.0,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
40,40,13-07-2020 02:45:21,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2107,142460,54500,4860,,True,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,41,13-07-2020 02:45:21,Tbilisi,54915c4374,То ли алфа пвп то ли апвп (но ооочень сильные кристаллы) 0.3,,нет,8,Тбилиси,0.3 гр,0.0109,8191,3134,279,,True,115.0,,,,,,,,,,,To li alfa pvp to li apvp (no ooochen' sil'nye kristally) 0.3
42,42,13-07-2020 02:45:21,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Тбилиси,1 гр,0.0367,24883,9517,850,310.0,True,,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
43,43,13-07-2020 02:45:21,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,,нет,10,Тбилиси,3 гр,0.0142,10684,4088,365,,True,150.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
44,44,13-07-2020 02:45:21,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,2,Тбилиси,4 гр,0.0418,28492,10900,972,,True,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,13-07-2020 02:45:21,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0261,17807,6813,608,,True,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
46,46,13-07-2020 02:45:21,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.0574,39176,14988,1337,,True,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,47,13-07-2020 02:45:21,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0282,19232,7358,656,,True,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
48,48,13-07-2020 02:45:21,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,5,Тбилиси,5 гр,0.0292,19944,7630,680,,True,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
49,49,13-07-2020 02:45:21,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0287,19588,7494,668,,True,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
50,50,13-07-2020 02:45:21,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0251,17095,6540,583,,True,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
51,51,13-07-2020 02:45:21,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0292,19944,7630,680,,True,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
52,52,13-07-2020 02:45:21,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0282,19232,7358,656,,True,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,53,13-07-2020 02:45:21,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15599,5968,532,,True,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,54,13-07-2020 02:45:21,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0282,19232,7358,656,,True,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,13-07-2020 02:45:21,Tbilisi,f374062dcd,Кристаллы Синие очень мощные на рынке 5 гр,,нет,1,Тбилиси,5 гр,0.0797,59833,22890,2041,,True,840.0,,,,,,,,,,,Kristally Sinie ochen' moschnye na rynke 5 gr
56,56,13-07-2020 02:45:21,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2523,190000,87429,6482,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
57,57,13-07-2020 02:45:21,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2847,213689,81750,7290,,,3000.0,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,58,13-07-2020 02:45:21,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0237,16054,6140,549,200.0,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
59,59,13-07-2020 02:45:21,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0939,64107,24525,2187,,True,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
60,60,13-07-2020 02:45:21,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0574,39176,14988,1337,,True,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
61,61,13-07-2020 02:45:21,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0731,49861,19075,1701,,True,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,62,13-07-2020 02:45:21,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0438,29917,11445,1021,,True,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,63,13-07-2020 02:45:21,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0835,56984,21800,1944,,True,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,64,13-07-2020 02:45:21,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2322,158486,60631,5407,,True,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
65,65,13-07-2020 02:45:21,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0521,35318,13508,1207,440.0,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
66,66,13-07-2020 02:45:21,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0461,31305,11973,1070,390.0,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
67,67,13-07-2020 02:45:21,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,3,Тбилиси,11 гр,0.0472,32027,12249,1095,399.0,True,,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
68,68,13-07-2020 02:45:21,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0617,46299,17713,1580,,True,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
69,69,13-07-2020 02:45:53,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2497,170952,65400,5832,,True,2400.0,,,,,,,,,,,100 gr marijuana buds
70,70,13-07-2020 02:45:53,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2601,178075,68125,6075,,True,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,13-07-2020 02:45:53,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6139,420256,160775,14337,,True,5900.0,,,,,,,,,,,180 gr marihuana persoalno
72,72,13-07-2020 02:45:53,Tbilisi,ef3dc4de6c,Extasy GUCCI 200шт. вес таблетки 450mg,,нет,1,Тбилиси,200 гр,0.3538,242181,92650,8262,,True,3400.0,,,,,,,,,,,Extasy GUCCI 200sht. ves tabletki 450mg
73,73,13-07-2020 02:45:53,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8844,605453,231625,20655,,True,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,13-07-2020 02:45:53,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,14246,5450,486,,True,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,13-07-2020 02:45:53,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,,1,нет,Тбилиси,1 гр,0.0156,10684,4088,365,,True,150.0,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
76,76,13-07-2020 02:45:53,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.026000000000000002,17807,6813,608,,True,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,13-07-2020 02:45:53,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0208,14246,5450,486,,True,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,13-07-2020 02:45:53,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.026000000000000002,17807,6813,608,,True,250.0,,,,,,,,,,,Rabota na marki (kur'er)
79,79,13-07-2020 02:45:53,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.052000000000000005,35615,13625,1215,,True,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
80,80,13-07-2020 02:45:53,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0189,14246,5450,486,,True,200.0,,,,,,,,,,,Rabota kur'erom
81,81,13-07-2020 02:45:53,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.575,1068447,408750,36450,,True,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
82,82,13-07-2020 02:45:53,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.052000000000000005,35615,13625,1215,,,500.0,,,,True,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,83,13-07-2020 02:47:26,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,5,нет,Батуми,2 гр,0.0044,2992,1145,102,,,42.0,,,,,,,,True,,,Melkie shishki (Indica) 2g
84,84,13-07-2020 02:47:26,Batumi,75738ec358,ASTRAL 3g,,3,нет,Батуми,3 гр,0.0256,19232,7358,656,,,270.0,,,,,,,,True,,,ASTRAL 3g
85,85,13-07-2020 02:47:26,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,3,нет,Батуми,5 гр,0.0365,24930,9538,851,,,350.0,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
86,86,13-07-2020 02:47:26,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,3,Батуми,1 гр,0.0368,24883,9517,850,310.0,,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
87,87,13-07-2020 02:47:26,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0522,35318,13508,1207,440.0,,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
88,88,13-07-2020 02:47:26,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0463,31305,11973,1070,390.0,,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
89,89,13-07-2020 02:47:26,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0474,32027,12249,1095,399.0,,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
90,90,13-07-2020 02:47:26,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1656,112990,51992,3855,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
91,91,13-07-2020 02:47:26,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2622,178900,82321,6104,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
92,92,13-07-2020 02:47:26,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7123,2725,243,,,100.0,,,,,,,,True,,,kur'er v Batumi
93,93,13-07-2020 02:47:26,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17807,6813,608,,,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
94,94,13-07-2020 02:47:26,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17807,6813,608,,,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
95,95,13-07-2020 02:47:26,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14246,5450,486,,,200.0,,,,,,,,True,,,Kur'er Batumi na marihuanu
96,96,13-07-2020 02:47:26,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5801,1068447,408750,36450,,,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
