,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Vazisubani,Saburtalo,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,14-05-2020 07:01:21,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,18,нет,Тбилиси,0.3 гр,0.0098,3221,233,7000,,,,,,,,,,,,,0.3 a-pvp white
1,1,14-05-2020 07:01:21,Tbilisi,9610a68a0a,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0038,1076,98,2943,40.0,,,,,,,,,,,,suboxsone 0.4 g
2,2,14-05-2020 07:01:21,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0166,4277,389,11700,159.0,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,14-05-2020 07:01:21,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0028,726,66,1987,27.0,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,14-05-2020 07:01:21,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0243,6322,575,17292,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
5,5,14-05-2020 07:01:21,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0846,24210,2202,66224,900.0,,,,,,,,,,,,Metadon 1gr
6,6,14-05-2020 07:01:21,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0103,2690,245,7358,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
7,7,14-05-2020 07:01:21,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,True,8,нет,Тбилиси,2 гр,0.0083,2152,196,5887,80.0,,,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
8,8,14-05-2020 07:01:21,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,8,нет,Тбилиси,2 гр,0.0082,2125,193,5813,79.0,,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
9,9,14-05-2020 07:01:21,Tbilisi,69672fee0d,2 гр INDICA марихуана шишки тгк 21% VHQ!!,True,8,нет,Тбилиси,2 гр,0.0071,1856,169,5077,69.0,,,,,,,,,,,,2 gr INDICA marihuana shishki tgk 21% VHQ!!
10,10,14-05-2020 07:01:21,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.0093,2394,218,6549,89.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
11,11,14-05-2020 07:01:21,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0073,1883,171,5151,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
