,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Varketili,Didube,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,02-05-2020 09:13:39,Tbilisi,8ddca45a78,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,5,нет,Тбилиси,0.5 гр,0.003,2036,762,68,28.0,,,,,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
1,1,02-05-2020 09:13:39,Tbilisi,2f51af8159,Hashish Malana Charas 0.5 g,,4,нет,Тбилиси,0.5 гр,0.0056,3782,1414,126,52.0,True,,,,,,,,,,,,,Hashish Malana Charas 0.5 g
2,2,02-05-2020 09:13:39,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,5,нет,Тбилиси,0.5 гр,0.0026,1745,653,58,24.0,True,True,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,02-05-2020 09:13:39,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,1,нет,Тбилиси,0.5 гр,0.0028,2109,789,70,29.0,,,True,,,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
4,4,02-05-2020 09:13:39,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,14,нет,Тбилиси,0.5 гр,0.0031,2109,789,70,29.0,,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,02-05-2020 09:13:39,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,1 гр,0.0059,4000,1496,133,55.0,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,6,02-05-2020 09:13:39,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,3,нет,Тбилиси,1 гр,0.0052,3491,1306,116,48.0,,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
7,7,02-05-2020 09:13:39,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,2,нет,Тбилиси,1 гр,0.004,2982,1115,99,41.0,,,,,,,,,,,,,,Hybrid Ana-sha 1G.
8,8,02-05-2020 09:13:39,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,1,нет,Тбилиси,1 гр,0.0051,3418,1278,113,47.0,,,,True,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
9,9,02-05-2020 09:13:39,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0246,16654,6229,553,229.0,,,,,True,,,,,,,,,Kokain KOLUMBIA 1g
10,10,02-05-2020 09:13:39,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0879,65454,24480,2173,900.0,,,,,,,,,,,,,,Metadon 1gr
11,11,02-05-2020 09:13:39,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0259,17382,6501,577,239.0,,True,,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
12,12,02-05-2020 09:13:39,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0107,7273,2720,241,100.0,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
