,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,12-02-2020 19:49:26,Tbilisi,61df6a1c90,Метадон 0.15гр,True,4,нет,Тбилиси,0.15 гр,0.0112,8196.0,3203.0,285,130.0,,,,,,,,,,,Metadon 0.15gr
1,1,12-02-2020 19:49:26,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g. Podezd,True,1,нет,Тбилиси,0.25 гр,0.0057,3783.0,1478.0,132,60.0,,,,,,,,,,,Iranian Sirec 0.25g. Podezd
2,2,12-02-2020 19:49:26,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,9,нет,Тбилиси,0.25 гр,0.0155,11348.0,4435.0,395,180.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,12-02-2020 19:49:26,Tbilisi,32e645c201,"methadone 0,29 gr",,4,нет,Тбилиси,0.29 гр,0.0199,13240.0,5174.0,460,210.0,True,,,,,,,,,,"methadone 0,29 gr"
4,4,12-02-2020 19:49:26,Tbilisi,61df6a1c90,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.0154,11979.0,4682.0,417,190.0,,,,,,,,,,,Metadon 0.30gr
5,5,12-02-2020 19:49:26,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,2,нет,Тбилиси,0.33 гр,0.0054,3783.0,1478.0,132,60.0,,,,,,,,,,,"A PVP 0,33 VHQ"
6,6,12-02-2020 19:49:26,Tbilisi,366326d4d6,"0,5 MDMA / White sparks / purity 93%",True,7,нет,Тбилиси,0.5 гр,0.0066,4350.0,1700.0,151,69.0,,,,,,,,,,,"0,5 MDMA / White sparks / purity 93%"
7,7,12-02-2020 19:49:26,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,16,нет,Тбилиси,0.5 гр,0.0027,1828.0,715.0,64,29.0,True,True,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
8,8,12-02-2020 19:49:26,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,9,нет,Тбилиси,0.5 гр,0.0105,6935.0,2710.0,241,110.0,,,,,,,,,,,"Cocaine, 0.5 g"
9,9,12-02-2020 19:49:26,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0057,3783.0,1478.0,132,60.0,,,,,,,,,,,Ketamine 0.5g
10,10,12-02-2020 19:49:26,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0258,18914.0,7392.0,658,300.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
11,11,12-02-2020 19:49:26,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,3,нет,Тбилиси,0.5 гр,0.0095,6242.0,2439.0,217,99.0,,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
