,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Тбилиси,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,desc_en
0,0,02-08-2020 09:01:39,Tbilisi,21de5577be,0.5 gr. AK-47 (60/40 Sativa/Indica),True,1,нет,Тбилиси,0.5 гр,0.0024,2129,808,71,29.0,,,,,,,,,,,0.5 gr. AK-47 (60/40 Sativa/Indica)
1,1,02-08-2020 09:01:39,Tbilisi,21de5577be,0.5 gr. Amnesia Haze 100% Natural / Sativa,,2,нет,Тбилиси,0.5 гр,0.0026,2350,892,78,32.0,True,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural / Sativa
2,2,02-08-2020 09:01:39,Tbilisi,21de5577be,0.5 gr. Lemon Haze (Sativa),,2,нет,Тбилиси,0.5 гр,0.0026,2350,892,78,32.0,True,,,,,,,,,,0.5 gr. Lemon Haze (Sativa)
3,3,02-08-2020 09:01:39,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,1,нет,Тбилиси,0.5 гр,0.0026,2276,864,76,31.0,,True,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
4,4,02-08-2020 09:01:39,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,5,нет,Тбилиси,0.5 гр,0.0024,2129,808,71,29.0,True,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
5,5,02-08-2020 09:01:39,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,,5,нет,Тбилиси,0.5 гр,0.0028,2496,947,83,34.0,,,True,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
6,6,02-08-2020 09:01:39,Tbilisi,16a8841259,Tangerine 0.5г,,6,нет,Тбилиси,0.5 гр,0.0026,2350,892,78,32.0,,,True,,,,,,,,Tangerine 0.5g
7,7,02-08-2020 09:01:39,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,11,нет,Тбилиси,0.5 гр,0.0025,2203,836,73,30.0,,,True,,,,,,,,VHQ Hybrid MJ Buds 0.5G
8,8,02-08-2020 09:01:39,Tbilisi,67187efef3,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,,9,нет,Тбилиси,0.5 гр,0.002,1836,697,61,25.0,,,True,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
9,9,02-08-2020 09:01:39,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,3,нет,Тбилиси,1 гр,0.005,4406,1672,146,60.0,,,True,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
