,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,desc_en
0,0,13-05-2020 03:37:02,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,27,нет,Тбилиси,0.3 гр,0.0103,3221,232,7000,,,,,,,,,0.3 a-pvp white
1,1,13-05-2020 03:37:02,Tbilisi,9610a68a0a,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0039,1080,98,2937,40.0,,,,,,,,suboxsone 0.4 g
2,2,13-05-2020 03:37:02,Tbilisi,8ddca45a78,">>new<< 0,5G HINDU KUSH (Indica)",True,1,нет,Тбилиси,0.5 гр,0.0032,810,73,2203,30.0,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
3,3,13-05-2020 03:37:02,Tbilisi,8ddca45a78,"0,5g GORILLA GLUE #4 (Hybrid, more indica)",True,3,нет,Тбилиси,0.5 гр,0.003,756,68,2056,28.0,,,,,,,,"0,5g GORILLA GLUE #4 (Hybrid, more indica)"
4,4,13-05-2020 03:37:02,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0174,4293,388,11676,159.0,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
5,5,13-05-2020 03:37:02,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0059,1485,134,4039,55.0,True,,,,,,,HQ Euro Hashish 0.5 g
6,6,13-05-2020 03:37:02,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0142,3510,317,9546,130.0,,True,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
7,7,13-05-2020 03:37:02,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0065,1620,146,4406,60.0,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,13-05-2020 03:37:02,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,1,нет,Тбилиси,1 гр,0.0326,8073,729,21956,299.0,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,9,13-05-2020 03:37:02,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,1,нет,Тбилиси,1 гр,0.0054,1350,122,3672,50.0,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
10,10,13-05-2020 03:37:02,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS (Indica),True,2,нет,Тбилиси,1 гр,0.0054,1350,122,3672,50.0,,,,,,,,1g NORTHERN LIGHTS (Indica)
11,11,13-05-2020 03:37:02,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0054,1350,122,3672,50.0,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
12,12,13-05-2020 03:37:02,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0254,6345,573,17257,235.0,,,,,,,,Cocaine Pure VHQ 1g
13,13,13-05-2020 03:37:02,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0257,6480,585,17624,240.0,,,,,,,,VHQ BEST Cocaine 1g.
14,14,13-05-2020 03:37:02,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0884,24300,2195,66089,900.0,,,,,,,,Metadon 1gr
15,15,13-05-2020 03:37:02,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0261,6453,583,17550,239.0,,True,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
16,16,13-05-2020 03:37:02,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0119,2943,266,8004,109.0,,True,,,,,,✨ 1g. MDMA ✨
17,17,13-05-2020 03:37:02,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,10,нет,Тбилиси,2 гр,0.0108,2700,244,7343,100.0,,,,,,,,2 G Hybrid Marijuana Buds
18,18,13-05-2020 03:37:02,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0075,1863,168,5067,69.0,True,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,13-05-2020 03:37:02,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0085,2133,193,5801,79.0,True,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,20,13-05-2020 03:37:02,Tbilisi,4659482266,2g super Skunk top class buds.,,1,нет,Тбилиси,2 гр,0.0093,2295,207,6242,85.0,,,True,,,,,2g super Skunk top class buds.
21,21,13-05-2020 03:37:02,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0076,1890,171,5140,70.0,,,,,,,,2x Extasy Duracell 223mg MDMA.
22,22,13-05-2020 03:37:02,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0514,12960,1171,35248,480.0,,,,,,,,VHQ BEST Cocaine 2g.
23,23,13-05-2020 03:37:02,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0092,2295,207,6242,85.0,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
24,24,13-05-2020 03:37:02,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,6,нет,Тбилиси,3 гр,0.0141,3510,317,9546,130.0,,,,,,,,3 G Hybrid Marijuana Big Buds
25,25,13-05-2020 03:37:02,Tbilisi,4659482266,3g superskunk top class buds.,,1,нет,Тбилиси,3 гр,0.013000000000000001,3213,290,8738,119.0,,,True,,,,,3g superskunk top class buds.
26,26,13-05-2020 03:37:02,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0115,2835,256,7710,105.0,,,,,,,,3x Extasy Duracell 223mg MDMA
