,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Gldani,Saburtalo,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,14-03-2020 11:00:42,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0153,6958,2546,222,,,85.0,,,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
11,11,14-03-2020 11:00:42,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,9,нет,Тбилиси,1 гр,0.0136,6221,2286,199,85.0,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
12,12,14-03-2020 11:00:42,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0164,7777,2845,248,,,95.0,,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
13,13,14-03-2020 11:00:42,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,19,нет,Тбилиси,1 гр,0.0074,3367,1237,108,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
14,14,14-03-2020 11:00:42,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,9,нет,Тбилиси,1 гр,0.0241,10978,4034,351,150.0,,,,,,,,,,,,Apvp VHQ 1g 24/7
15,15,14-03-2020 11:00:42,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0802,40254,14790,1287,550.0,,,,,,,,,,,,Metadon VHQ 1 24/7
16,16,14-03-2020 11:00:42,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.008,3659,1345,117,50.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
17,17,14-03-2020 11:00:42,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,2,нет,Тбилиси,1 гр,0.0072,3293,1210,105,45.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
18,18,14-03-2020 11:00:42,Tbilisi,ae784bef73,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0128,5855,2151,187,80.0,,,,,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
19,19,14-03-2020 11:00:42,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,9,нет,Тбилиси,1 гр,0.0075,3440,1264,110,47.0,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
20,20,14-03-2020 11:00:42,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1313,65869,24201,2106,900.0,,,,,,,,,,,,Metadon 1gr
21,21,14-03-2020 11:00:42,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,16,нет,Тбилиси,1 гр,0.0029,1464,538,47,20.0,,,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
22,22,14-03-2020 11:00:42,Tbilisi,dd631c4acf,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,6,нет,Тбилиси,1 гр,0.0112,5050,1855,161,69.0,,,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
23,23,14-03-2020 11:00:42,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0102,5123,1882,164,70.0,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
24,24,14-03-2020 11:00:42,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,9,нет,Тбилиси,2 гр,0.0131,6587,2420,211,90.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
25,25,14-03-2020 11:00:42,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,3,нет,Тбилиси,2 гр,0.0111,5050,1855,161,69.0,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
26,26,14-03-2020 11:00:42,Tbilisi,64284550d9,2G ---> INDICA,,8,нет,Тбилиси,2 гр,0.0097,4538,1667,145,62.0,,,,True,,,,,,,,2G ---> INDICA
27,27,14-03-2020 11:00:42,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0128,5782,2124,185,79.0,,,True,,,,,,,,,2g super Skunk top class buds. Indica
28,28,14-03-2020 11:00:42,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,1,нет,Тбилиси,2 гр,0.0051,2562,941,82,35.0,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
29,29,14-03-2020 11:00:42,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0583,27738,10191,887,379.0,,,,,,,,,,,,Kokain HQ 2g.
30,30,14-03-2020 11:00:42,Tbilisi,dd631c4acf,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃,True,1,нет,Тбилиси,2 гр,0.0193,8709,3200,278,119.0,,,,,,,,,,,,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃
31,31,14-03-2020 11:00:42,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.043,20465,7488,654,,,250.0,,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
32,32,14-03-2020 11:00:42,Tbilisi,64284550d9,3G ---> INDICA,,18,нет,Тбилиси,3 гр,0.0127,6367,2339,204,87.0,,,,True,,,,,,,,3G ---> INDICA
33,33,14-03-2020 11:00:42,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.017,7685,2823,246,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
34,34,14-03-2020 11:01:27,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.0186,8417,3092,269,115.0,,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
35,35,14-03-2020 11:01:27,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,8,нет,Тбилиси,4 гр,0.0088,4391,1613,140,60.0,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
36,36,14-03-2020 11:01:27,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0476,21956,8067,702,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
37,37,14-03-2020 11:01:27,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.062,29470,10782,941,,,360.0,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
38,38,14-03-2020 11:01:27,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0284,12808,4706,410,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
39,39,14-03-2020 11:01:27,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1263,57599,21162,1842,787.0,,,,,True,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
40,40,14-03-2020 11:01:27,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,,2,нет,Тбилиси,5 гр,0.0339,16101,5916,515,220.0,,,,,,True,,,,,,Hybrid Gagarin. 5g.
41,41,14-03-2020 11:01:27,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0095,4757,1748,152,65.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
42,42,14-03-2020 11:01:27,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0705,32496,11939,1039,444.0,,,,,True,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
43,43,14-03-2020 11:01:27,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0586,26714,9815,854,365.0,True,,,,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
44,44,14-03-2020 11:01:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0428,19541,7180,625,267.0,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
45,45,14-03-2020 11:01:27,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0144,7246,2662,232,99.0,,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
46,46,14-03-2020 11:01:27,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0616,29275,10756,936,400.0,,,,,,,,,,,,gashish evro 10g
47,47,14-03-2020 11:01:27,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.136,62064,22803,1984,848.0,,,,,True,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
48,48,14-03-2020 11:01:27,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0438,19761,7260,632,270.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
49,49,14-03-2020 11:01:27,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,2,Тбилиси,0.35 гр,0.0369,16833,6185,538,230.0,,,,,,,,,,,,Methadone HQ in city 0.35g
50,50,14-03-2020 11:01:27,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1123,51232,18823,1638,700.0,,,,,,,,,,,,Methadone HQ in city 1.4g
51,51,14-03-2020 11:01:27,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.057,26275,9654,840,359.0,,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
52,52,14-03-2020 11:01:27,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0956,43181,15865,1381,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
53,53,14-03-2020 11:01:27,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0642,29275,10756,936,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
54,54,14-03-2020 11:01:27,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0882,40254,14790,1287,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,14-03-2020 11:01:27,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.025,11417,4195,365,156.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
56,56,14-03-2020 11:01:27,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0319,14564,5351,466,199.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
57,57,14-03-2020 11:01:27,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0257,11710,4302,374,160.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
58,58,14-03-2020 11:01:27,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0319,14564,5351,466,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,59,14-03-2020 11:01:27,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0319,14564,5351,466,199.0,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
60,60,14-03-2020 11:01:27,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0233,10612,3899,339,145.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,61,14-03-2020 11:01:27,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0319,16028,5889,513,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,62,14-03-2020 11:01:27,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0486,21956,8067,702,300.0,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
63,63,14-03-2020 11:01:27,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0241,10978,4034,351,150.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,64,14-03-2020 11:01:27,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0292,14638,5378,468,200.0,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
65,65,14-03-2020 11:01:27,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3786,190000,87429,6072,,,,,,,,,,,,,reagent 25i nbome. 5gr
66,66,14-03-2020 11:01:27,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4375,219565,80670,7021,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
67,67,14-03-2020 11:02:05,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1392,62869,23099,2010,859.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
68,68,14-03-2020 11:02:05,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.03,13540,4975,433,185.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
69,69,14-03-2020 11:02:05,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0792,35789,13149,1144,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
70,70,14-03-2020 11:02:05,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0533,24079,8847,770,329.0,,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
71,71,14-03-2020 11:02:05,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1444,65869,24201,2106,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
72,72,14-03-2020 11:02:05,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1123,51232,18823,1638,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
73,73,14-03-2020 11:02:05,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.064,29202,10729,934,399.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
74,74,14-03-2020 11:02:05,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0567,25616,9412,819,350.0,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
75,75,14-03-2020 11:02:05,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1283,58551,21512,1872,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
76,76,14-03-2020 11:02:05,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.35700000000000004,162844,59830,5207,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
77,77,14-03-2020 11:02:05,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2348,106050,38964,3391,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
78,78,14-03-2020 11:02:05,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0598,27006,9922,864,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,79,14-03-2020 11:02:05,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0485,21883,8040,700,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
80,80,14-03-2020 11:02:05,Tbilisi,be97026d1d,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2727,124420,45713,3978,1700.0,,,,,,,,,,,,MDMA 20 g
81,81,14-03-2020 11:02:05,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0971,43840,16107,1402,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
82,82,14-03-2020 11:02:05,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1078,51232,18823,1638,700.0,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
83,83,14-03-2020 11:02:05,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.175,87826,32268,2808,1200.0,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
84,84,14-03-2020 11:02:05,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1538,73115,26863,2338,999.0,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
85,85,14-03-2020 11:02:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3209,146376,53780,4680,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
86,86,14-03-2020 11:02:05,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3241,146376,53780,4680,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
87,87,14-03-2020 11:02:05,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4011,182971,67225,5851,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
88,88,14-03-2020 11:02:05,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2431,109782,40335,3510,1500.0,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
89,89,14-03-2020 11:02:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.738,336666,123694,10765,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
90,90,14-03-2020 11:02:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2033,548912,201675,17552,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
91,91,14-03-2020 11:02:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.3637,622100,228565,19892,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
92,92,14-03-2020 11:02:05,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0292,14638,5378,468,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
93,93,14-03-2020 11:02:05,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0219,10978,4034,351,150.0,,,,,,,,,,,,Rabota na marki (kur'er)
94,94,14-03-2020 11:02:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0321,14638,5378,468,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
95,95,14-03-2020 11:02:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0401,18297,6723,585,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
96,96,14-03-2020 11:02:05,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.4284,1097823,403350,35103,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
97,97,14-03-2020 11:02:53,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2419,109782,40335,3510,1500.0,,,,,,,,,True,,,Skunk! 50 gr.
98,98,14-03-2020 11:02:53,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,нет,5,Батуми,0.27 гр,0.044000000000000004,19761,7260,632,270.0,,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
99,99,14-03-2020 11:02:53,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,16,Батуми,5 гр,0.0293,14638,5378,468,200.0,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
100,100,14-03-2020 11:02:53,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3258,146376,53780,4680,2000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
101,101,14-03-2020 11:02:53,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2444,109782,40335,3510,1500.0,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
102,102,14-03-2020 11:02:53,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0147,7319,2689,234,100.0,,,,,,,,,True,,,kur'er v Batumi
