,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,31-05-2020 11:14:17,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0105,7075,2705,241,100.0,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,31-05-2020 11:14:17,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0169,11250,4301,383,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,31-05-2020 11:14:17,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.0318,21155,8088,721,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,3,31-05-2020 11:14:17,Tbilisi,ae784bef73,NEW ! White Shark ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0047,3184,1217,108,45.0,,,,,,,,,,,NEW ! White Shark ! BUDS ! 1G
4,4,31-05-2020 11:14:17,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.086,63677,24345,2169,900.0,,,,,,,,,,,Metadon 1gr
5,5,31-05-2020 11:14:17,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0116,7712,2948,263,109.0,True,,,,,,,,,,✨ 1g. MDMA ✨
6,6,31-05-2020 11:14:17,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 1pc🌈🌈🌈🧞‍♀️,,1,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49.0,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 1pc🌈🌈🌈🧞‍♀️
7,7,31-05-2020 11:14:17,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.0095,6297,2407,214,89.0,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
8,8,31-05-2020 11:14:17,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,2 гр,0.0094,6297,2407,214,89.0,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
9,9,31-05-2020 11:14:17,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119.0,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
10,10,31-05-2020 11:14:17,Tbilisi,be97026d1d,!!Critical Kush 5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,5 гр,0.0229,15707,6005,535,222.0,,,,True,,,,,,,!!Critical Kush 5g!! !!! BTC SALE 5% !!!
11,11,31-05-2020 11:14:17,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0312,21226,8115,723,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
12,12,31-05-2020 11:14:17,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0229,16980,6492,578,240.0,,,,,,,,,,,5g. marihuana shishki Critical
13,13,31-05-2020 11:14:17,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,10,нет,Тбилиси,5 гр,0.0125,8419,3219,287,119.0,,,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
14,14,31-05-2020 11:14:17,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0186,12382,4734,422,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
15,15,31-05-2020 11:14:17,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1193,82780,31649,2820,1170.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
16,16,31-05-2020 11:14:17,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,17,нет,Тбилиси,10 гр,0.0105,7075,2705,241,100.0,,,True,,,,,,,,10 gr marihuana list'ja top gibrid
17,17,31-05-2020 11:14:17,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,9,нет,Тбилиси,20 гр,0.0034,2547,974,87,36.0,,,,,,,,,,,GABAGAMA 20 SHTUK
18,18,31-05-2020 11:14:17,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0784,54974,21018,1873,777.0,,,,,,,,,,,Gashish Evro 20gr
19,19,31-05-2020 11:14:17,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5660,2164,193,80.0,,,,,,,,,,,GABAGAMA 50 SHTUK
20,20,31-05-2020 11:14:17,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1912,141504,54100,4820,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,21,31-05-2020 11:14:17,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0177,13089,5004,446,185.0,,,,,,,,,,,GABAGAMA 150 shtuk
22,22,31-05-2020 11:14:17,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0223,14858,5681,506,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
23,23,31-05-2020 11:14:17,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0392,26107,9981,889,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
24,24,31-05-2020 11:14:17,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0615,40965,15662,1395,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,31-05-2020 11:14:17,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0421,28301,10820,964,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,31-05-2020 11:14:17,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,2,Тбилиси,4 гр,0.0147,9905,3787,337,140.0,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
27,27,31-05-2020 11:14:17,Tbilisi,be97026d1d,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!,True,нет,4,Тбилиси,5 гр,0.0205,14080,5383,480,199.0,,,,,,,,,,,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!
28,28,31-05-2020 11:14:17,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0736,49526,18935,1687,700.0,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
29,29,31-05-2020 11:14:17,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0578,38914,14878,1326,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,30,31-05-2020 11:14:17,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0247,16627,6357,566,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,31,31-05-2020 11:14:17,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0252,16980,6492,578,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,32,31-05-2020 11:14:17,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0242,16273,6222,554,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,33,31-05-2020 11:14:17,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0252,16980,6492,578,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
34,34,31-05-2020 11:15:13,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0252,16980,6492,578,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,35,31-05-2020 11:15:13,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0241,16273,6222,554,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,36,31-05-2020 11:15:13,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0209,15495,5924,528,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,37,31-05-2020 11:15:13,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0246,16627,6357,566,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
38,38,31-05-2020 11:15:13,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2558,190000,87429,6478,,,,,,,,,,,,reagent 25i nbome. 5gr
39,39,31-05-2020 11:15:13,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2858,212256,81150,7230,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,40,31-05-2020 11:15:13,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1015,67851,25941,2311,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,41,31-05-2020 11:15:13,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0201,13443,5140,458,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
42,42,31-05-2020 11:15:13,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0518,34598,13227,1178,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
43,43,31-05-2020 11:15:13,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,5 гр,0.0196,13089,5004,446,185.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
44,44,31-05-2020 11:15:13,Tbilisi,be97026d1d,!! Гашиш !! Hash 6g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,6 гр,0.0482,33183,12686,1130,469.0,,,,,,,,,,,!! Gashish !! Hash 6g !!! BTC SALE 5%!!!!
45,45,31-05-2020 11:15:13,Tbilisi,be97026d1d,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,True,нет,1,Тбилиси,7.5 гр,0.0289,19740,7547,672,279.0,,,,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
46,46,31-05-2020 11:15:13,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0943,63677,24345,2169,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,47,31-05-2020 11:15:13,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0419,28301,10820,964,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,48,31-05-2020 11:15:13,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0734,49526,18935,1687,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,49,31-05-2020 11:15:13,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044000000000000004,29716,11361,1012,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
