,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,11-05-2020 23:24:20,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0181,11746,4310,388,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,11-05-2020 23:24:20,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.0062,4063,1491,134,55,True,,,,,,,,,,HQ Euro Hashish 0.5 g
2,11-05-2020 23:24:20,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,1,нет,Тбилиси,0.5 гр,0.003,1995,732,66,27,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,11-05-2020 23:24:20,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0148,9603,3524,317,130,,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,11-05-2020 23:24:20,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,3,нет,Тбилиси,1 гр,0.0067,4432,1627,146,60,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,11-05-2020 23:24:20,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0062,4063,1491,134,55,True,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
6,11-05-2020 23:24:20,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.034,22088,8106,730,299,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
7,11-05-2020 23:24:20,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0264,17360,6371,574,235,,,,,,,,,,,Cocaine Pure VHQ 1g
8,11-05-2020 23:24:20,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0058,3841,1410,127,52,,,True,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
9,11-05-2020 23:24:20,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0267,17729,6506,586,240,,,,,,,,,,,VHQ BEST Cocaine 1g.
