,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,21-05-2020 21:47:33,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0039,2837,1078,96,40,,,,,,,,,,,,suboxsone 0.4 g
1,21-05-2020 21:47:33,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0171,11277,4287,383,159,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,21-05-2020 21:47:33,Tbilisi,9Y6T,WeedShop,Ak - 47 0.5г,True,8,нет,Тбилиси,0.5 гр,0.0032,2128,809,72,30,,,,,,,,,,,,Ak - 47 0.5g
3,21-05-2020 21:47:33,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,22,нет,Тбилиси,0.5 гр,0.0031,2057,782,70,29,True,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,21-05-2020 21:47:33,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,3,нет,Тбилиси,0.5 гр,0.0032,2128,809,72,30,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,21-05-2020 21:47:33,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,3,нет,Тбилиси,0.5 гр,0.014,9220,3505,313,130,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
6,21-05-2020 21:47:33,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.025,16667,6336,566,235,,,,,,,,,,,,Cocaine Pure VHQ 1g
7,21-05-2020 21:47:33,Tbilisi,UTYG,Greanheave,Lsd 25 buds 1 GR,True,2,нет,Тбилиси,1 гр,0.005,3688,1402,125,52,,,,,,,,,,,,Lsd 25 buds 1 GR
8,21-05-2020 21:47:33,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,6,нет,Тбилиси,1 гр,0.0253,17022,6470,578,240,,,,,,,,,,,,VHQ BEST Cocaine 1g.
9,21-05-2020 21:47:33,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0044,2908,1105,99,41,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
10,21-05-2020 21:47:33,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0872,63832,24264,2168,900,,,,,,,,,,,,Metadon 1gr
11,21-05-2020 21:47:33,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0257,16951,6443,576,239,True,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
12,21-05-2020 21:47:33,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,2 гр,0.0107,7092,2696,241,100,,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,21-05-2020 21:47:33,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0075,4965,1887,169,70,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
14,21-05-2020 21:47:33,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,2 гр,0.0095,6312,2399,214,89,,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
15,21-05-2020 21:47:33,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0501,33334,12671,1132,470,,,,,,,,,,,,Cocaine Pure VHQ 2 g
16,21-05-2020 21:47:33,Tbilisi,UTYG,Greanheave,LSD 25 buds 2 GR,True,2,нет,Тбилиси,2 гр,0.0092,6738,2561,229,95,,,,,,,,,,,,LSD 25 buds 2 GR
17,21-05-2020 21:47:33,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0091,6029,2292,205,85,True,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
18,21-05-2020 21:47:33,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0128,8440,3208,287,119,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
19,21-05-2020 21:47:33,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,1,нет,Тбилиси,3 гр,0.0138,9220,3505,313,130,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
20,21-05-2020 21:47:33,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,7,нет,Тбилиси,3 гр,0.0134,8866,3370,301,125,,,,True,,,,,,,,3g superskunk top class buds.
21,21-05-2020 21:47:33,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0113,7447,2831,253,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
22,21-05-2020 21:47:33,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️4 LSD 200ug.🌈️‍🌈️‍🤩,,1,нет,Тбилиси,4 гр,0.0193,12695,4826,431,179,,True,,,,,,,,,,️‍🤩🌈️‍🌈️4 LSD 200ug.🌈️‍🌈️‍🤩
